owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Defense,Department of Defense,FY2019Q4,021-2031,"Aircraft Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,2937561858.92,492601431.05,4805345718.00,0.00,0.00,145390491.87,145390491.87,8380899499.84,6083791246.25,652330136.72,2297108253.59,5107800925.47,8380899499.84,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2032,"Missile Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,2602225639.62,491395963.48,4816060000.00,0.00,0.00,131390140.59,131390140.59,8041071743.69,6183566584.07,548776537.17,1857505159.62,2736716977.75,8041071743.69,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2033,"Procurement of Weapons and Tracked Combat Vehicles, Army",Department of the Army,National Defense,Department of Defense-Military,3049562259.32,70379897.20,5359262000.00,0.00,0.00,12532772.37,12532772.37,8491736928.89,5700937318.83,311335426.28,2790799610.06,2708335039.94,8491736928.89,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2034,"Procurement of Ammunition, Army",Department of the Army,National Defense,Department of Defense-Military,1559307746.71,130351893.11,2575405000.00,0.00,0.00,1506964146.89,1506964146.89,5772028786.71,4148149942.61,204334541.60,1623878844.10,3580906943.87,5772028786.71,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2035,"Other Procurement, Army",Department of the Army,National Defense,Department of Defense-Military,3310323510.03,687233032.92,9176177931.00,0.00,0.00,61966336.90,61966336.90,13235700810.85,10748065935.09,1040438477.40,2487634875.76,8618951788.50,13235700810.85,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2040,"Research, Development, Test, and Evaluation, Army",Department of the Army,National Defense,Department of Defense-Military,5299211115.66,754108573.65,11180147524.00,0.00,0.00,6558851906.52,6558851906.52,23792319119.83,19412905685.05,825092889.49,4379413434.78,16815037344.34,23792319119.83,2020-01-17
Department of Defense,Department of Defense;Department of Transportation,FY2019Q4,021-2050,"Military Construction, Army",Department of the Army,National Defense,Department of Defense-Military,4075383306.82,249021582.57,1338118000.00,0.00,0.00,6215031265.42,6215031265.42,11877554154.81,7306943094.89,251814734.18,4570611059.92,6098429742.95,11877554154.81,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2060,"National Guard Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,555053791.98,582708118.79,9134016000.00,0.00,0.00,159988671.21,159988671.21,10431766581.98,9603380468.98,699951048.21,828386113.00,9354428636.43,10431766581.98,2020-01-17
Department of Defense,Department of Defense;Department of Transportation,FY2019Q4,021-2065,"Operation and Maintenance, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,661502830.63,820061535.89,7287062000.00,0.00,0.00,240883841.11,240883841.11,9009510207.63,8458446253.96,1083179745.57,551063953.67,7409865057.89,9009510207.63,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2070,"Reserve Personnel, Army",Department of the Army,National Defense,Department of Defense-Military,253775708.09,283907795.40,4862869500.00,0.00,0.00,198287373.43,198287373.43,5598840376.92,5285857835.21,313178801.64,312982541.71,4907531535.98,5598840376.92,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2080,"Operation and Maintenance, Army Reserve",Department of the Army,National Defense,Department of Defense-Military,252104437.59,153572007.72,2830860000.00,0.00,0.00,12644340.65,12644340.65,3249180785.96,3010601685.95,317003595.66,238579100.01,2695000914.27,3249180785.96,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2085,"Military Construction, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,907950154.14,180451586.40,244522000.00,0.00,0.00,0.00,0.00,1332923740.54,434158979.54,216095479.08,898764761.00,271468828.03,1332923740.54,2020-01-17
Department of Defense,Department of Defense;Department of Transportation,FY2019Q4,021-2086,"Military Construction, Army Reserve",Department of the Army,National Defense,Department of Defense-Military,122652284.66,2494439.89,87919000.00,0.00,0.00,0.00,0.00,213065724.55,147382114.96,2913387.96,65683609.59,200408019.94,213065724.55,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2089,"Iraq Relief and Reconstruction Fund, Army",Department of the Army,International Affairs,International development and humanitarian assistance,3568953.91,0.00,0.00,0.00,0.00,0.00,0.00,3568953.91,0.00,0.00,3568953.91,5600000.00,3568953.91,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2090,"Operating Expenses of the Coalition Provisional Authority, Army",Department of the Army,International Affairs,International development and humanitarian assistance,0.00,3137.27,0.00,0.00,0.00,0.00,0.00,3137.27,0.00,3137.27,3137.27,0.00,3137.27,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2091,"Afghanistan Security Forces Fund, Army",Department of the Army,National Defense,Department of Defense-Military,2220572416.71,-6066224.32,4316000000.00,0.00,0.00,77220969.00,77220969.00,6607727161.39,3670544169.65,334329188.14,2937182991.74,3419322444.29,6607727161.39,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2093,"Joint Improvised Explosive Device Defeat Fund, Army",Department of the Army,National Defense,Department of Defense-Military,67530354.41,28900018.98,0.00,0.00,0.00,-27.00,-27.00,96430346.39,56174029.03,91707316.68,40256317.36,44652991.18,96430346.39,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2096,"Afghanistan Infrastructure Fund, Army",Department of the Army,National Defense,Department of Defense-Military,30654839.20,-12643061.37,0.00,0.00,0.00,0.00,0.00,18011777.83,4733439.39,5340946.87,13278338.44,22241536.45,18011777.83,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2097,"Iraq Train and Equip Fund, Army",Department of the Army,National Defense,Department of Defense-Military,16091457.72,85093025.96,0.00,0.00,0.00,0.00,0.00,101184483.68,75670235.12,85093025.96,25514248.56,160062.41,101184483.68,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-2099,"Counter-ISIS Train and Equip Fund, Army",Department of the Army,National Defense,Department of Defense-Military,1553729920.90,47609380.31,1052200000.00,0.00,0.00,6612976.00,6612976.00,2660152277.21,1569725771.42,47609380.31,1090426505.79,1376094823.43,2660152277.21,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-5095,"Wildlife Conservation, Etc., Military Reservations, Army",Department of the Army,Natural Resources and Environment,Recreational resources,2868654.41,156844.10,2460404.99,0.00,0.00,0.00,0.00,5485903.50,1434953.18,156844.10,4050950.32,2000580.41,5485903.50,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-5098,"Restoration, Rocky Mountain Arsenal, Army",Department of the Army,National Defense,Department of Defense-Military,11770179.81,2772519.44,-540408.36,0.00,0.00,0.00,0.00,14002290.89,3126204.05,2772519.44,10876086.84,431100.36,14002290.89,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-5285,"Department of Defense, Forest Products Program, Army",Department of the Army,Natural Resources and Environment,Recreational resources,2800227.73,0.00,895744.89,0.00,0.00,0.00,0.00,3695972.62,314961.53,0.00,3381011.09,0.00,3695972.62,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-5286,"National Science Center, Army",Department of the Army,National Defense,Department of Defense-Military,71594.88,0.00,0.00,0.00,0.00,0.00,0.00,71594.88,0.00,0.00,71594.88,0.00,71594.88,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-5602,"National Military Cemeteries Concessions, Army",Department of the Army,Veterans Benefits and Services,Other veterans benefits and services,365300.00,0.00,1877611.00,0.00,0.00,0.00,0.00,2242911.00,633797.56,0.00,1609113.44,369846.31,2242911.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-5752,"Department of Defense Korean War Commemoration Fund, Army",Department of the Army,National Defense,Department of Defense-Military,0.00,300.00,-300.00,0.00,0.00,0.00,0.00,0.00,300.00,300.00,-300.00,0.00,0.00,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-8063,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed General Hospital, Army",Department of the Army,National Defense,Department of Defense-Military,23684.25,0.00,0.00,0.00,0.00,0.00,0.00,23684.25,0.00,0.00,23684.25,0.00,23684.25,2020-01-17
Department of Defense,Department of Defense,FY2019Q4,021-8927,"Department of the Army General Gift Fund, Army",Department of the Army,National Defense,Department of Defense-Military,36913976.39,2079151.97,959123.60,0.00,0.00,0.00,0.00,39952251.96,17765353.22,2079151.97,22186898.74,0.00,39952251.96,2020-01-17
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0100,"Salaries and Expenses, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,98563287.02,1357204.79,132172000.00,0.00,0.00,300216816.75,300216816.75,532309308.56,443682756.26,1363574.70,88626552.30,424801162.37,532309308.56,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0200,"Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,0.00,0.00,43643923834.00,0.00,0.00,0.00,0.00,43643923834.00,43643923834.00,0.00,0.00,43643923834.00,43643923834.00,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0206,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",Office of Personnel Management,Health,Health care services,0.00,0.00,13131166380.34,0.00,0.00,0.00,0.00,13131166380.34,13131166380.34,0.00,0.00,13110343626.43,13131166380.34,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0400,"Salaries and Expenses, Office of Inspector General, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,4055631.10,34236.33,5000000.00,0.00,0.00,24373750.80,24373750.80,33463618.23,30190138.86,248082.17,3273479.37,31090223.52,33463618.23,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0500,"Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,0.00,0.00,42292761.52,0.00,0.00,0.00,0.00,42292761.52,42292761.52,0.00,0.00,42268715.42,42292761.52,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0600,"OPM Building Delegation Fund, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,4031604.64,0.00,0.00,0.00,0.00,6999999.99,6999999.99,11031604.63,9367543.85,0.00,1664060.78,8427279.28,11031604.63,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-0800,"Flexible Benefits Plan Reserve, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,60840492.93,0.00,0.00,0.00,0.00,12716460.85,12716460.85,73556953.78,8524985.12,0.00,65031968.66,8282314.45,73556953.78,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-4571,"Revolving Fund, Undistributed SIBAC Chargebacks for Washington, DC, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,1225307047.16,220024943.50,0.00,0.00,0.00,2105367432.99,2105367432.99,3550699423.65,1828344267.09,220024943.50,1722355156.56,2107851768.33,3550699423.65,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-5391,"Postal Service Contributions for Retiree Health Benefits, Office of Personnel Management",Office of Personnel Management,Health,Health care services,0.00,0.00,3763987642.68,0.00,0.00,0.00,0.00,3763987642.68,3763987642.68,0.00,0.00,3763987642.68,3763987642.68,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-8135,"Civil Service Retirement and Disability Fund, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,0.00,0.00,89108990765.51,0.00,0.00,0.00,0.00,89108990765.51,89108990765.51,0.00,0.00,88853447063.20,89108990765.51,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-8424,"Employees' Life Insurance Fund, Office of Personnel Management",Office of Personnel Management,Income Security,Federal employee retirement and disability,45538097101.36,0.00,0.00,0.00,0.00,4588248168.86,4588248168.86,50126345270.22,3274868426.73,0.00,46851476843.49,3257151511.86,50126345270.22,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-8440,"Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Health,Health care services,24603513603.57,0.00,0.00,0.00,0.00,55713079468.73,55713079468.73,80316593072.30,55423690604.22,0.00,24892902468.08,55326107253.31,80316593072.30,2019-11-13
Office of Personnel Management,Office of Personnel Management,FY2019Q4,024-8445,"Retired Employees' Health Benefits Fund, Office of Personnel Management",Office of Personnel Management,Health,Health care services,2450229.28,0.00,0.00,0.00,0.00,306179.42,306179.42,2756408.70,253222.00,0.00,2503186.70,255994.50,2756408.70,2019-11-13
National Credit Union Administration,National Credit Union Administration,FY2019Q4,025-4472,"Community Development Revolving Loan Fund, National Credit Union",National Credit Union Administration,Commerce and Housing Credit,Deposit insurance,7760403.06,39997.41,2000000.00,0.00,0.00,4780130.43,4780130.43,14580530.90,4927568.85,73004.95,9652962.05,1968001.16,14580530.90,2019-11-14
Federal Communications Commission,Federal Communications Commission,FY2019Q4,027-0100,"Salaries and Expenses, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,119273529.14,8224768.13,0.00,0.00,0.00,470466930.15,470466930.15,597965227.42,481556620.74,8224768.13,116408606.68,437644219.94,597965227.42,2019-11-14
Federal Communications Commission,Federal Communications Commission,FY2019Q4,027-0300,"Spectrum Auction Program Account, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,2820129.80,34.00,0.00,0.00,0.00,0.00,0.00,2820163.80,3709.60,34.00,2816454.20,0.00,2820163.80,2019-11-14
Federal Communications Commission,Federal Communications Commission,FY2019Q4,027-5183,"Universal Service Fund, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,-6047472540.94,807855412.92,9756114556.55,0.00,0.00,0.00,0.00,4516497428.53,15592709858.52,807855412.92,-11076212429.99,10069616642.93,4516497428.53,2019-11-14
Federal Communications Commission,Federal Communications Commission,FY2019Q4,027-5610,"TV Broadcaster Relocation Fund, Federal Communications Commission",Federal Communications Commission,Commerce and Housing Credit,Other advancement of commerce,607147886.58,35121368.14,400000000.00,0.00,0.00,0.00,0.00,1042269254.72,125463045.27,35121368.14,916806209.45,580228587.18,1042269254.72,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0400,"Office of the Inspector General, Social Security Administration",Social Security Administration,Income Security,Other income security,4337176.42,822941.24,30000000.00,0.00,0.00,85407538.12,85407538.12,120567655.78,115270147.49,1064627.30,5297508.29,107163646.82,120567655.78,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0401,"Special Benefits for Certain World War II Veterans, Social Security Administration",Social Security Administration,Veterans Benefits and Services,Income security for veterans,0.00,0.00,1158595.06,0.00,0.00,408513.78,408513.78,1567108.84,1567108.84,0.00,0.00,1567108.84,1567108.84,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0404,"Payments to Social Security Trust Funds, Social Security Administration",Social Security Administration,Social Security,Social security,61035032.60,-12699976.51,36140757490.10,0.00,0.00,0.00,0.00,36189092546.19,36133699438.36,243429.35,55393107.83,36133472274.01,36189092546.19,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0406,"Supplemental Security Income Program, Social Security Administration",Social Security Administration,Income Security,Other income security,3590462352.00,44109600.64,60866203000.00,0.00,0.00,2567615490.86,2567615490.86,67068390443.50,62686793169.43,44109600.64,4381597274.07,62905884518.88,67068390443.50,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0415,"Administrative Costs, The Medicare Improvements for Patients and Providers Act, Social Security Administration",Social Security Administration,Medicare,Medicare,14895521.53,7136.89,0.00,0.00,0.00,0.00,0.00,14902658.42,0.00,7136.89,14902658.42,38530.74,14902658.42,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0416,"Administrative Expenses, Children's Health Insurance Program, Social Security Administration",Social Security Administration,Health,Health care services,1996581.06,0.00,0.00,0.00,0.00,0.00,0.00,1996581.06,22026.81,0.00,1974554.25,22026.81,1996581.06,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0417,"Limitation on Administrative Expenses - Recovery Act, Social Security Administration",Social Security Administration,Social Security,Social security,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2083794.09,0.00,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-0440,"Payments for Credits Against Social Security Contributions, Social Security Administration",Social Security Administration,Social Security,Social security,0.00,0.00,18983.56,0.00,0.00,0.00,0.00,18983.56,18983.56,0.00,0.00,18983.56,18983.56,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-5419,"State Supplemental Fees, Social Security Administration",Social Security Administration,Income Security,Other income security,0.00,0.00,127755143.60,0.00,0.00,0.00,0.00,127755143.60,127755143.60,0.00,0.00,127755143.60,127755143.60,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-8006,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",Social Security Administration,Social Security,Social security,0.00,157391435.53,901493960152.03,0.00,0.00,0.00,0.00,901651351587.56,901651351587.56,64362834.49,0.00,896847088192.55,901651351587.56,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-8007,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",Social Security Administration,Social Security,Social security,0.00,10994526.93,145656808704.78,0.00,0.00,0.00,0.00,145667803231.71,145667803231.71,165427486.64,0.00,147826123991.44,145667803231.71,2019-11-14
Social Security Administration,Social Security Administration,FY2019Q4,028-8704,"Salaries and Expenses, Social Security Administration",Social Security Administration,Social Security,Social security,955024671.80,300900751.67,0.00,0.00,0.00,12888346044.50,12888346044.50,14144271467.97,13084458649.94,300900751.67,1059812818.03,12890597870.87,14144271467.97,2019-11-14
Federal Trade Commission,Federal Trade Commission,FY2019Q4,029-0100,"Salaries and Expenses, Federal Trade Commission",Federal Trade Commission,Commerce and Housing Credit,Other advancement of commerce,22817630.73,12417495.10,168227742.00,0.00,0.00,142566071.86,142566071.86,346028939.69,331002455.85,12417495.10,15026483.84,318178510.10,346028939.69,2019-11-11
Nuclear Regulatory Commission,Nuclear Regulatory Commission,FY2019Q4,031-0200,"Salaries and Expenses, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",38180836.02,8579163.03,898350000.00,0.00,0.00,3661948.34,3661948.34,948771947.39,882672594.69,8579163.03,66099352.70,880756563.59,948771947.39,2019-11-13
Nuclear Regulatory Commission,Nuclear Regulatory Commission,FY2019Q4,031-0300,"Office of the Inspector General, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",2963013.02,46871.47,12609000.00,0.00,0.00,0.00,0.00,15618884.49,12347466.77,46871.47,3271417.72,11580116.79,15618884.49,2019-11-13
Nuclear Regulatory Commission,Nuclear Regulatory Commission,FY2019Q4,031-5280,"Nuclear Facilities Fees Fund, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2019-11-13
John F. Kennedy Center for the Performing Arts,John F. Kennedy Center for the Performing Arts,FY2019Q4,033-0302,"Operations and Maintenance, John F. Kennedy Center for the Performing Arts",Smithsonian Institution,"Education, Training, Employment, and Social Services",Research and general education aids,281430.41,169903.13,24490000.00,0.00,0.00,0.00,0.00,24941333.54,24741410.77,169903.13,199922.77,23562217.24,24941333.54,2020-02-18
John F. Kennedy Center for the Performing Arts,John F. Kennedy Center for the Performing Arts,FY2019Q4,033-0303,"Capital Repair and Restoration, John F. Kennedy Center for the Performing Arts",Smithsonian Institution,"Education, Training, Employment, and Social Services",Research and general education aids,20579115.45,274800.65,16800000.00,0.00,0.00,0.00,0.00,37653916.10,11652743.25,274800.65,26001172.85,13808485.33,37653916.10,2020-02-18
International Trade Commission,International Trade Commission,FY2019Q4,034-0100,"Salaries and Expenses, International Trade Commission",International Trade Commission,International Affairs,Conduct of foreign affairs,498719.34,8699490.64,95000000.00,0.00,0.00,0.00,0.00,104198209.98,103815828.47,8699490.64,382381.51,95983716.02,104198209.98,2019-11-13
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0102,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,2098251150.98,374882778.28,100762828000.00,0.00,0.00,0.00,0.00,103235961929.26,101514552736.55,374882778.28,1721409192.71,100799005252.37,103235961929.26,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0110,"Construction, Major Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,1488570144.11,357798164.42,2177486000.00,0.00,0.00,0.00,0.00,4023854308.53,1216077463.77,31498164.42,2807776844.76,1118025909.45,4023854308.53,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0111,"Construction, Minor Projects, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,871158026.59,79603447.15,799514000.00,0.00,0.00,0.00,0.00,1750275473.74,792785304.90,79603447.15,957490168.84,501405581.75,1750275473.74,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0120,"Veterans Insurance and Indemnities, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,217083.40,0.00,109090000.00,0.00,0.00,6467568.16,6467568.16,115774651.56,114965444.18,0.00,809207.38,116544959.04,115774651.56,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0129,"National Cemetery Administration, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,14035699.80,6169542.07,315836000.00,0.00,0.00,836859.83,836859.83,336878101.70,325889950.26,7930949.94,10988151.44,322787808.53,336878101.70,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0137,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,"Veterans education, training, and rehabilitation",6824288139.56,237741441.95,9832175000.00,0.00,0.00,198496257.06,198496257.06,17092700838.57,13678843069.24,237741441.95,3413857769.33,13636745439.23,17092700838.57,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0140,"Medical Community Care, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,524170726.42,872960342.02,9680838689.67,0.00,0.00,0.00,0.00,11077969758.11,10851564444.93,872960342.02,226405313.18,12195970731.88,11077969758.11,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0142,"General Administration, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,58563137.14,13129611.47,356182000.00,0.00,0.00,307956648.37,307956648.37,735831396.98,685750108.62,31061766.05,50081288.36,631704797.19,735831396.98,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0151,"General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,169765751.64,64182825.42,2956316000.00,0.00,0.00,1432906663.59,1432906663.59,4623171240.65,4446527733.35,71331677.69,176643507.30,4309006616.85,4623171240.65,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0152,"Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,441649918.02,-19950392.14,7097778000.00,0.00,0.00,49677745.33,49677745.33,7569155271.21,7301539441.21,167213068.12,267615830.00,7015113929.03,7569155271.21,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0160,"Medical Services, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,3445317194.78,516304653.29,52951241253.68,0.00,0.00,124250282.85,124250282.85,57037113384.60,52852225103.68,850023610.69,4184888280.92,52683026038.95,57037113384.60,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0161,"Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,170290868.17,43315995.00,779000000.00,0.00,0.00,34688422.05,34688422.05,1027295285.22,822050746.86,49119889.68,205244538.36,723307977.98,1027295285.22,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0162,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,1234869009.83,266379188.64,6893971000.00,0.00,0.00,20325792.82,20325792.82,8415544991.29,6857625197.79,303832341.00,1557919793.50,6121225463.87,8415544991.29,2020-02-14
Department of Veterans Affairs,Department of Defense;Department of Veterans Affairs,FY2019Q4,036-0165,"DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,91693245.67,183439.27,45000000.00,0.00,0.00,0.00,0.00,136876684.94,15714624.65,183439.27,121162060.29,21450329.52,136876684.94,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0167,"Information Technology Systems, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,499705766.96,-2653001.49,4198772000.00,0.00,0.00,60124716.62,60124716.62,4755949482.09,4384492805.03,81923066.93,371456677.06,4459384577.81,4755949482.09,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0169,"Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,57342384.60,7033399.10,432151785.07,0.00,0.00,11257523.63,11257523.63,507785092.40,460690793.04,20218581.43,47094299.36,462957861.22,507785092.40,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0170,"Office of Inspector General, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,16411357.12,1848457.82,192000000.00,0.00,0.00,0.00,0.00,210259814.94,192784875.35,3090746.42,17474939.59,189689283.51,210259814.94,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0172,"Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,4644460451.21,1191719155.47,0.00,0.00,0.00,0.00,0.00,5836179606.68,3304331045.95,1191719155.47,2531848560.73,3906517691.30,5836179606.68,2020-02-14
Department of Veterans Affairs,Department of Veterans Affairs,FY2019Q4,036-0181,"Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Hospital and medical care for veterans,458522235.04,53119600.99,150000000.00,0.00,0.00,0.00,0.00,661641836.03,502446757.99,53119600.99,159195078.04,90649436.72,661641836.03,2020-02-14
