owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Transportation,Department of Transportation,FY2021P12,069-1124,"Urban Formula Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1125,"Job Access and Reverse Commute Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,384790.17,561493.00,-320230.00,0.00,0.00,0.00,0.00,626053.17,0.00,561493.00,626053.17,46732.00,626053.17,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1126,"Waterborne Transportation Demonstration Project, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1127,"Interstate Transfer Grants-Transit, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1128,"Washington Metropolitan Area Transit Authority, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,5913950.05,134693.73,150000000.00,0.00,0.00,0.00,0.00,156048643.78,148500000.00,134693.73,7548643.78,130243110.00,156048643.78,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1129,"Formula Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,10121347.94,57194.93,-1606849.00,0.00,0.00,5001.61,5001.61,8576695.48,68367.61,57194.93,8508327.87,8568563.34,8576695.48,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1134,"Capital Investments Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,3513667357.01,93816324.07,2014000000.00,0.00,0.00,0.00,0.00,5621483681.08,3313009114.81,93816324.07,2308474566.27,1900581249.74,5621483681.08,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1136,"University Transportation Research, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1137,"Transit Research, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,8805493.86,980598.65,0.00,0.00,0.00,139.07,139.07,9786231.58,1355422.89,980598.65,8430808.69,7177587.38,9786231.58,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1140,"Public Transportation Emergency Relief Program, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,413252362.62,8586221.27,0.00,0.00,0.00,27575.00,27575.00,421866158.89,71994555.51,8584360.27,349871603.38,873724980.76,421866158.89,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1142,"Technical Assistance and Training, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,3973355.27,29821.09,7500000.00,0.00,0.00,0.00,0.00,11503176.36,7100000.00,29821.09,4403176.36,4717996.31,11503176.36,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1301,"Operations, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,259742138.17,73207773.82,482500000.00,0.00,0.00,10665212267.00,10665212267.00,11480662178.99,11280539209.54,123372569.48,200122969.45,11092007599.85,11480662178.99,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1309,"TIFIA ARRA General Fund Program Account, Office of the Secretary, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,58034.49,0.00,0.00,0.00,0.00,58034.49,58034.49,0.00,0.00,58034.49,58034.49,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1400,"Operational Expenses, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,1732954.93,95351.66,28715000.00,0.00,0.00,0.00,0.00,30543306.59,26381805.10,283493.43,4161501.49,23318390.49,30543306.59,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1401,"Hazardous Materials Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,7288132.42,483456.98,62000000.00,0.00,0.00,568714.56,568714.56,70340303.96,57935133.24,1251405.23,12405170.72,59147346.96,70340303.96,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1710,"Ready Reserve Force, Maritime Administration, Transportation",Department of Transportation,National Defense,Defense-related activities,57818780.95,25193491.98,0.00,0.00,0.00,532110905.70,532110905.70,615123178.63,494323530.35,25193491.98,120799648.28,453971077.37,615123178.63,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1711,"Maritime Security Program, Maritime Administration, Transportation",Department of Transportation,National Defense,Defense-related activities,46787801.26,3921518.78,314000000.00,0.00,0.00,0.00,0.00,364709320.04,305713942.62,3921518.78,58995377.42,301069390.23,364709320.04,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1712,"State Maritime Academy Operations, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,263910706.25,2659388.77,432700000.00,0.00,0.00,0.00,0.00,699270095.02,643192815.42,2659388.77,56077279.60,392057271.56,699270095.02,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1713,"Port Infrastructure Development Program, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,517070944.47,0.32,230000000.00,0.00,0.00,0.00,0.00,747070944.79,166701894.61,0.32,580369050.18,1455920.78,747070944.79,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1717,"Cable Security Fleet, Maritime Administration, Transportation",Department of Transportation,National Defense,Defense-related activities,0.00,0.00,10000000.00,0.00,0.00,0.00,0.00,10000000.00,0.00,0.00,10000000.00,0.00,10000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1730,"Research and Technology, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,20436695.75,1415450.52,22800000.00,0.00,0.00,13034353.31,13034353.31,57686499.58,26494106.94,1497106.91,31192392.64,26980955.59,57686499.58,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1731,"Transportation Demonstration Program, Office of the Secretary, Transportation",Department of Transportation,Transportation,Transportation,0.00,0.00,100000000.00,0.00,0.00,0.00,0.00,100000000.00,0.00,0.00,100000000.00,0.00,100000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1750,"Operations and Training, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,165174651.36,-449874.67,155616000.00,0.00,0.00,6276747.64,6276747.64,326617524.33,172215039.65,2039946.93,154402484.68,168250261.12,326617524.33,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1752,"Maritime Guaranteed Loan, (Title XI) Program Account, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,35519763.62,0.00,64920194.92,0.00,0.00,0.00,0.00,100439958.54,64920194.92,0.00,35519763.62,64920194.92,100439958.54,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1768,"Ship Disposal, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,91998037.01,24865.88,4200000.00,0.00,0.00,0.00,0.00,96222902.89,48152506.67,24865.88,48070396.22,22000354.17,96222902.89,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1770,"Assistance to Shipyards, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,634495.45,2974.98,20000000.00,0.00,0.00,0.00,0.00,20637470.43,19989881.26,2974.98,647589.17,14187257.44,20637470.43,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1774,"Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",Department of Transportation,Transportation,Ground transportation,14801884.44,91.92,2325819160.00,0.00,0.00,0.00,0.00,2340621136.36,2328119327.26,91.92,12501809.10,2323034329.84,2340621136.36,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-1775,"National Network Grants to the National Railroad Passenger Corporation, Transportation",Department of Transportation,Transportation,Ground transportation,4982438.73,79133.70,2374180840.00,0.00,0.00,0.00,0.00,2379242412.43,2371182453.78,79133.70,8059958.65,2373322527.05,2379242412.43,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-2810,"Federal-State Partnership for Intercity Passenger Rail Grants, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,806427438.78,299656.38,200000000.00,0.00,0.00,0.00,0.00,1006727095.16,84105066.05,299656.38,922622029.11,2234935.13,1006727095.16,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-2811,"Consolidated Rail Infrastructure and Safety Improvements Grants, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,885164755.13,3380768.55,375000000.00,0.00,0.00,0.00,0.00,1263545523.68,207512524.38,3380768.55,1056032999.30,63591408.73,1263545523.68,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-2812,"Transit Infrastructure Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,2784711481.16,116471464.60,44977575534.00,0.00,0.00,0.00,0.00,47878758479.76,17272430861.49,114049964.60,30606327618.27,13370543191.80,47878758479.76,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-2813,"Grants-In-Aid for Airports, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,2400000000.00,0.00,0.00,0.00,0.00,2400000000.00,2400000000.00,0.00,0.00,2400000000.00,2400000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-2815,"Relief for Airports, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,8000000000.00,0.00,0.00,0.00,0.00,8000000000.00,4340869282.63,0.00,3659130717.37,332978866.71,8000000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-2816,"Emergency FAA Employee Leave Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,9000000.00,0.00,0.00,0.00,0.00,9000000.00,627635.54,0.00,8372364.46,627635.54,9000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4089,"Great Lakes St. Lawrence Seaway Development Corporation Fund, Transportation",Department of Transportation,Transportation,Water transportation,36885036.41,1390526.61,0.00,0.00,0.00,38916134.34,38916134.34,77191697.36,32976421.88,1390526.61,44215275.48,37032828.12,77191697.36,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4120,"Aviation Insurance Revolving Fund, Transportation",Department of Transportation,Transportation,Air transportation,2300489179.89,202786.20,0.00,0.00,0.00,18942946.43,18942946.43,2319634912.52,3639988.38,202786.20,2315994924.14,3409816.71,2319634912.52,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4302,"War-Risk Insurance Revolving Fund, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,50415927.62,112500.00,0.00,0.00,0.00,839086.89,839086.89,51367514.51,0.00,112500.00,51367514.51,0.00,51367514.51,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4303,"Vessel Operations Revolving Fund, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,22459349.03,109020.54,0.00,0.00,0.00,8665113.00,8665113.00,31233482.57,414950.54,109020.54,30818532.03,417772.21,31233482.57,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4520,"Working Capital Fund, Office of the Secretary,Transportation",Department of Transportation,Transportation,Other transportation,88452136.42,28188133.28,0.00,0.00,0.00,375160437.69,375160437.69,491800707.39,386018639.71,28188133.28,105782067.68,370866424.74,491800707.39,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4522,"Working Capital Fund, Transportation Systems Center, Transportation",Department of Transportation,Transportation,Other transportation,180338211.46,4861791.61,0.00,0.00,0.00,182948421.16,182948421.16,368148424.23,226567338.43,4861791.61,141581085.80,223001687.23,368148424.23,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-4562,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,230080878.86,34519759.81,0.00,0.00,0.00,470389004.68,470389004.68,734989643.35,520755294.89,34435620.89,214234348.46,471452100.42,734989643.35,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-5172,"Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,46460100.38,22740785.45,145000000.00,0.00,0.00,22981450.02,22981450.02,237182335.85,181190861.81,24570317.07,55991474.04,169834762.43,237182335.85,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-5282,"Emergency Preparedness Grant, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,13080398.57,5385504.86,28128547.20,0.00,0.00,0.00,0.00,46594450.63,28598878.66,5385504.86,17995571.97,20896939.04,46594450.63,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-5422,"Aviation User Fees, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,21088607.75,-13949527.86,8606327.27,0.00,0.00,0.00,0.00,15745407.16,1129297.58,0.00,14616109.58,1633510.92,15745407.16,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-5423,"Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",Department of Transportation,Transportation,Air transportation,99173334.94,33136150.72,63955158.41,0.00,0.00,0.00,0.00,196264644.07,194676477.84,21962572.86,1588166.23,198393089.88,196264644.07,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-5560,"Port of Guam Improvement Enterprise Fund, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,1872431.11,0.00,0.00,0.00,0.00,0.00,0.00,1872431.11,0.00,0.00,1872431.11,298844.55,1872431.11,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8001,"Intermodal Urban Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8002,"Carpool and Vanpool Projects, Federal Highway Administration",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8003,"Operations and Maintenance, Great Lakes St. Lawrence Seaway Development Corporation, Transportation",Department of Transportation,Transportation,Water transportation,0.00,0.00,38000000.00,0.00,0.00,0.00,0.00,38000000.00,38000000.00,0.00,0.00,38000000.00,38000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8009,"Trust Fund Share of Other Highway Programs, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,302094.56,0.00,0.00,0.00,0.00,0.00,0.00,302094.56,0.00,0.00,302094.56,0.00,302094.56,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8014,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8016,"Operation and Research, Liquidation of Contract Authorization, Limitation on Obligations, Highway Trust Fund, Transportation",Department of Transportation,Transportation,Ground transportation,24618648.48,2667544.19,0.00,0.00,155300000.00,2824099.00,158124099.00,185410291.67,157793309.28,2997385.46,27616982.39,151173681.61,185410291.67,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8017,"Highway Safety Research and Development, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8019,"Highway-Related Safety Grants, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8020,"Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund, National Highway Traffic Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,177904664.74,107639018.91,0.00,0.00,623017000.00,0.00,623017000.00,908560683.65,726717176.15,2692237.36,181843507.50,693647692.19,908560683.65,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8045,"Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8048,"National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,9896126.91,0.00,0.00,0.00,0.00,0.00,0.00,9896126.91,0.00,0.00,9896126.91,0.00,9896126.91,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8049,"Vehicular and Pedestrian Safety Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8054,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,114286873.21,5256871.02,1580761.89,0.00,0.00,0.00,0.00,121124506.12,103272833.96,5256871.02,17851672.16,107832610.23,121124506.12,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8055,"Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8057,"Bridge Capacity Improvement, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324384.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8058,"Miscellaneous Highway Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,39233024.07,2300041.04,0.00,0.00,0.00,0.00,0.00,41533065.11,6610225.47,2300041.04,34922839.64,5764811.57,41533065.11,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8061,"Construction and Improvements to Halls Mills Road, New Jersey, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,1000000.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,1000000.00,0.00,1000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8072,"Appalachian Development Highway System, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,4000.00,0.00,4000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8076,"Highway Safety and Economic Development Projects, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8081,"Highway-Railroad Grade Crossing Safety Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8082,"Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Corps of Engineers - Civil Works;Department of Agriculture;Department of Defense;Department of Housing and Urban Development;Department of the Interior;Department of the Treasury;Department of Transportation,FY2021P12,069-8083,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,22513537372.80,-1716740066.73,0.00,0.00,46097939884.21,715389778.52,46813329662.73,67610126968.80,45364953621.82,0.00,22245173346.98,44077305251.87,67610126968.80,2022-01-19
Department of Transportation,Denali Commission,FY2021Q4,069-8083,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42676.91,0.00,2021-11-02
Department of Transportation,Department of Transportation,FY2021P12,069-8087,"Highway Safety Improvement Demonstration Projects, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8102,"Highway Trust Fund - Treasury Managed, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,413406.00,0.00,0.00,0.00,0.00,413406.00,413406.00,0.00,0.00,413406.00,413406.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8103,"Airport and Airway Trust Fund - Treasury Managed, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8104,"Operations, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,0.00,0.00,10519000000.00,0.00,0.00,0.00,0.00,10519000000.00,10519000000.00,0.00,0.00,10272000000.00,10519000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8106,"Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,1125293721.76,222251634.96,2400000000.00,0.00,3350000000.00,37500.00,3350037500.00,7097582856.72,6388556639.59,222256709.96,709026217.13,8836102670.38,7097582856.72,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8107,"Facilities and Equipment, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,2241547816.59,102026732.92,3015000000.00,0.00,0.00,59872191.09,59872191.09,5418446740.60,3125054001.12,131607045.28,2293392739.48,2831802759.78,5418446740.60,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8108,"Research, Engineering and Development, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",Department of Transportation,Transportation,Air transportation,177426226.91,2005381.80,198000000.00,0.00,0.00,8164741.09,8164741.09,385596349.80,230329738.32,4512717.18,155266611.48,167094010.97,385596349.80,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8120,"Corridor Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,24834.48,-24834.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8121,"Trust Fund Share of Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",Department of Transportation,Transportation,Other transportation,0.00,0.00,23000000.00,0.00,0.00,0.00,0.00,23000000.00,23000000.00,261730.51,0.00,26129876.26,23000000.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8158,"Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,119629940.35,9914087.78,0.00,0.00,387800000.00,0.00,387800000.00,517344028.13,386708720.61,9914087.78,130635307.52,332650887.03,517344028.13,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8159,"Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,106306304.18,8633352.87,0.00,0.00,318246997.09,64429033.93,382676031.02,497615688.07,321521021.56,8633352.87,176094666.51,302869034.29,497615688.07,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8191,"Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,14810589.30,41558.56,0.00,0.00,0.00,0.00,0.00,14852147.86,0.00,41558.56,14852147.86,0.00,14852147.86,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8264,"Contributions for Highway Research Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,1154343.03,6947.73,1112760.00,0.00,0.00,0.00,0.00,2274050.76,70000.00,6947.73,2204050.76,5280.02,2274050.76,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8265,"Cooperative Work, Forest Highways, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,3115092.83,0.00,0.00,0.00,0.00,0.00,0.00,3115092.83,0.00,0.00,3115092.83,0.00,3115092.83,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8304,"Payment to Air Carriers, Office of the Secretary, Transportation",Department of Transportation,Transportation,Air transportation,2500318.70,14825713.00,141724000.00,0.00,0.00,0.00,0.00,159050031.70,159040525.00,14825713.00,9506.70,142996088.00,159050031.70,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8309,"Right of Way Revolving Fund Program Account, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8350,"Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,11464082532.80,681002421.52,0.00,0.00,10999178306.77,0.00,10999178306.77,23144263261.09,10739126610.41,337441009.85,12405136650.68,7961355588.49,23144263261.09,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8362,"National Driver Register, National Highway Traffic Safety Administration, Transportation",Department of Transportation,Transportation,Ground transportation,413814.12,0.00,0.00,0.00,0.00,0.00,0.00,413814.12,0.00,0.00,413814.12,0.00,413814.12,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8363,"Highway Demonstration Projects, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
Department of Transportation,Department of Transportation,FY2021P12,069-8371,"International Highway Transportation Outreach Program, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,266289.73,0.00,0.00,0.00,0.00,0.00,0.00,266289.73,0.00,0.00,266289.73,0.00,266289.73,2021-11-15
