"Company","Parent","Penalty","Year","Date","Agency","Market_cap","Ticker","price","price_at_time","Market_cap_at_time","Penalty_scaled"
"Spear, Leeds & Kellogg, L.P","goldman sachs",1e+06,2005,2005-03-22,"Financial Industry Regulatory Authority",124355557377.049,"GS",379.399993896484,109.599998474121,35923482124.4929,2.78369451083416e-05
"Medtronic Inc.","medtronic",2800000,2015,2015-02-06,"Justice Department Civil Division",113302004098.361,"MDT",84.7200012207031,75.3199996948242,100730722275.132,2.77968819914959e-05
"Verizon Business Network Services LLC","verizon communications",4091317,2023,2023-09-05,"Justice Department Civil Division",174437320491.803,"VZ",41.2799987792969,34.8600006103516,147308267408.721,2.77738450934885e-05
"Target Corp.","target",6e+05,2009,2009-10-01,"Consumer Product Safety Commission",64573879918.0328,"TGT",139.199996948242,46.6800003051758,21654517243.9979,2.77078446607396e-05
"Morgan Stanley Capital Group Inc.","morgan stanley",1500000,2019,2019-10-01,"Commodity Futures Trading Commission",111243387704.918,"MS",87.5699996948242,42.6699981689453,54205266258.0594,2.76725879891232e-05
"Citigroup Global Markets","citigroup",2963735,2017,2017-01-24,"Securities and Exchange Commission",102457683196.721,"C",53.2599983215332,55.6800003051758,107113105735.014,2.76692098475043e-05
"Wells Fargo Bank N.A., d/b/a Wells Fargo Dealer Services","wells fargo",5400000,2017,2017-11-14,"Justice Department Civil Rights Division",180655509426.229,"WFC",49.4900016784668,53.7200012207031,196096461058.039,2.75374678913851e-05
"Target Corporation","target",775000,2007,2007-01-26,"Equal Employment Opportunity Commission",64573879918.0328,"TGT",139.199996948242,60.6800003051758,28149016803.4239,2.75320450945816e-05
"Keysight Technologies, Inc","keysight technologies",473157,2020,2020-09-24,"Office of Foreign Assets Control",27705819672.1311,"KEYS",155.220001220703,96.3600006103516,17199670013.6655,2.75096556866537e-05
"Entergy Nuclear Operations, Inc.","entergy",650000,2008,2008-01-24,"Nuclear Regulatory Commission",20679886885.2459,"ETR",97.1999969482422,111.669998168945,23758467110.2314,2.73586674167241e-05
"Merrill Lynch","bank of america",2500000,2010,2010-08-18,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,13.210000038147,91418780117.8986,2.73466786230998e-05
"Regions Bank","regions financial",135000,2009,2009-12-17,"Federal Reserve",17996450819.6721,"RF",19.25,5.32999992370605,4982913324.45881,2.70925844399797e-05
"Compass Bank","pnc financial services",607500,2010,2010-08-13,"Office of Foreign Assets Control",60149581147.541,"PNC",150.229995727539,56.0900001525879,22457499245.7729,2.70510974241421e-05
"Mariott Vacation Club International","marriott international",190000,2005,2005-01-12,"Equal Employment Opportunity Commission",58980510655.7377,"MAR",237.869995117188,28.4325695037842,7049932749.02864,2.69506116957185e-05
"TracFone Wireless, Inc","verizon communications",6013000,2020,2020-04-02,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,52.9199981689453,223624587063.982,2.6888814324695e-05
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","bank of america",5e+06,2000,2000-04-06,"Securities and Exchange Commission",228235527459.016,"BAC",32.9799995422363,27,186851404697.611,2.67592315299512e-05
"American International Group, Inc.","american international group",2.5e+07,2006,2006-02-09,"Justice Department Criminal Division",48802115983.6066,"AIG",69.1600036621094,1327.59997558594,936808625761.749,2.66863469363038e-05
"Boeing","boeing",741000,2000,2000-08-02,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,48.6875,27777367974.4949,2.66763935546515e-05
"Honeywell International Inc.","honeywell international",3350000,2022,2022-10-26,"Justice Department Civil Division",132443272540.984,"HON",199.869995117188,189.649993896484,125671018375.224,2.66569018323516e-05
"US AIRWAYS INC","american airlines",250000,2013,2013-01-31,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,14.3000001907349,9393364694.19475,2.66145314420193e-05
"AIR WISCONSIN AIRLINES CORPORATION","united airlines holdings",4e+05,2007,2007-08-03,"Federal Aviation Administration",13457053688.5246,"UAL",40.8400001525879,45.6399993896484,15038685598.3352,2.65980691852672e-05
"Wells Fargo Bank N.A","wells fargo",5400000,2017,2017-04-03,"Occupational Safety & Health Administration",180655509426.229,"WFC",49.4900016784668,55.6599998474121,203178122571.637,2.65776646208356e-05
"Wells Fargo Investments, LLC","wells fargo",2970000,2005,2005-06-08,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,30.6849994659424,112010790508.325,2.65153025572056e-05
"Goldman Sachs Execution & Clearing, L.P.","goldman sachs",1800000,2015,2015-07-27,"Financial Industry Regulatory Authority",124355557377.049,"GS",379.399993896484,207.350006103516,67962904575.5136,2.64850363774553e-05
"SunTrust Bank","truist financial",1501000,2017,2017-05-25,"Federal Reserve",50219881147.541,"TFC",37.5499992370605,42.5499992370605,56906949345.6645,2.63763919391043e-05
"AMERICAN EAGLE AIRLINES INC","american airlines",6e+05,2007,2007-07-23,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,34.7099990844727,22800257034.0429,2.63154928080041e-05
"Union Pacific Railroad Co.","union pacific",260000,2005,2005-04-15,"Equal Employment Opportunity Commission",148485106557.377,"UNP",242.330001831055,16.1550006866455,9898803203.34174,2.6265801497319e-05
"Wells Fargo Home Mortgage","wells fargo",5e+06,2014,2014-10-09,"Housing and Urban Development Department",180655509426.229,"WFC",49.4900016784668,52.1500015258789,190365422766.503,2.62652740573211e-05
"Hamilton Sundstrand","rtx corporation",1250000,2005,2005-05-20,"Equal Employment Opportunity Commission",129340960655.738,"RTX",89.4899978637695,33.0396461486816,47752594419.5629,2.61765882083238e-05
"Merrill Lynch, Pierce, Fenner & Smith Inc.","bank of america",1e+06,2011,2011-10-04,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,5.53000020980835,38269937302.9917,2.6130170846186e-05
"CH2M Hill Hanford Group, Inc.","jacobs solutions",302500,2008,2008-06-05,"Energy Department Office of Enforcement",17010715573.7705,"J",134.089996337891,91.2600021362305,11577283779.539,2.61287540117675e-05
"Family Dollar Stores Inc.","dollar tree",75000,2009,2009-07-07,"Consumer Product Safety Commission",27318184836.0656,"DLTR",130.160003662109,13.7066669464111,2876776664.05486,2.60708455185695e-05
"ExxonMobil","exxon mobil",6155902,2005,2005-12-13,"Environmental Protection Agency",401020364344.262,"XOM",99.5999984741211,58.8600006103516,236988546703.639,2.59755253391976e-05
"Wells Fargo Advisors LLC","wells fargo",5108441,2018,2018-06-25,"Securities and Exchange Commission",180655509426.229,"WFC",49.4900016784668,53.939998626709,196899527174.558,2.59444046072858e-05
"United Parcel Service, Inc., and TForce Freight, Inc.","united parcel service",3800000,2021,2021-06-16,"Environmental Protection Agency",113828579098.361,"UPS",156.580001831055,202.339996337891,147094609838.877,2.58337134458048e-05
"Boeing","boeing",1050000,2011,2011-06-27,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,71.2600021362305,40655513246.7547,2.58267554913678e-05
"Wells Fargo Investments","wells fargo",3e+06,2005,2005-12-19,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,31.875,116354701306.598,2.57832297819656e-05
"E-Trade Securities LLC","morgan stanley",9e+05,2016,2016-06-02,"Financial Industry Regulatory Authority",111243387704.918,"MS",87.5699996948242,27.4899997711182,34921556619.8906,2.57720470423526e-05
"Wells Fargo Advisors LLC","wells fargo",5e+06,2014,2014-09-22,"Securities and Exchange Commission",180655509426.229,"WFC",49.4900016784668,53.3600006103516,194782335144.701,2.566967890741e-05
"Cessna Aircraft Company","textron",167500,2016,2016-02-18,"Equal Employment Opportunity Commission",16853277459.0164,"TXT",85.5500030517578,33.2999992370605,6560071379.39762,2.55332587578309e-05
"FAMILY DOLLAR STORES, INC./ FAMILY DOLLAR STORES OF OHIO, LLC/ FAMILY DOLLAR OPERATIONS, LLC/ DOLLAR TREE, INC./ DOLLAR TREE MANAGEMENT, LLC/ DOLLAR T","dollar tree",685777,2022,2022-01-31,"Occupational Safety & Health Administration",27318184836.0656,"DLTR",130.160003662109,128.490005493164,26967683012.3751,2.54295854666234e-05
"Norfolk Southern Corp.","norfolk southern",492000,2016,2016-07-05,"Office of Federal Contract Compliance Programs",53884530737.7049,"NSC",237.070007324219,85.1999969482422,19365426720.2653,2.54061016628742e-05
"United Parcel Service, Inc.","united parcel service",2250000,2019,2019-09-17,"Equal Employment Opportunity Commission",113828579098.361,"UPS",156.580001831055,122.569999694824,89104411433.0905,2.52512750357994e-05
"Merrill Lynch, Pierce, Fenner and Smith Inc.","bank of america",2800000,2016,2016-10-18,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,16.0499992370605,111072774179.272,2.52086978171696e-05
"TEXAS GAS TRANSMISSION LLC","loews corp.",237800,2022,2022-10-11,"Pipeline and Hazardous Materials Safety Administration",13452120901.6393,"L",73.0899963378906,51.4300003051758,9465626169.66383,2.51224795631714e-05
"Verizon","verizon communications",5e+06,2015,2015-01-26,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,47.1500015258789,199242252194.147,2.50950787041289e-05
"Citigroup Global Markets Inc.","citigroup",2488000,2014,2014-08-26,"Financial Industry Regulatory Authority",102457683196.721,"C",53.2599983215332,51.6300010681152,99322013886.4442,2.50498343986918e-05
"Union Pacific Railroad Company","union pacific",176000,2001,2001-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,11.4750003814697,7031183268.74094,2.50313486753299e-05
"Wells Fargo Bank N.A.","wells fargo",4100000,2016,2016-09-29,"Justice Department Civil Rights Division",180655509426.229,"WFC",49.4900016784668,45.310001373291,165397072187.948,2.47888305745884e-05
"CESSNA AIRCRAFT COMPANY","textron",55000,2009,2009-04-23,"Federal Aviation Administration",16853277459.0164,"TXT",85.5500030517578,11.2799997329712,2222150303.4007,2.47508010217986e-05
"Morgan Stanley & Co. Incorporated","morgan stanley",2500000,2000,2000-04-06,"Securities and Exchange Commission",111243387704.918,"MS",87.5699996948242,79.75,101309354806.262,2.46768919294852e-05
"UPS","united parcel service",2e+06,2017,2017-08-08,"Equal Employment Opportunity Commission",113828579098.361,"UPS",156.580001831055,111.860000610352,81318589721.0327,2.45946222980636e-05
"United Parcel Service","united parcel service",3800000,2021,2021-06-08,"Environmental Protection Agency",113828579098.361,"UPS",156.580001831055,212.919998168945,154785927767.117,2.45500353605613e-05
"Wal-Mart Stores, Inc.","walmart",1654184,2007,2007-01-31,"Labor Department Wage and Hour Division",230136705737.705,"WMT",160.5,47.2799987792969,67793539977.2592,2.44003189766294e-05
"Southwest Airlines Co.","southwest airlines",2e+05,2013,2013-07-30,"Transportation Department Aviation Consumer Protection Division",18621681557.377,"LUV",31.1100006103516,13.6999998092651,8200483085.15214,2.43888070889533e-05
"Walt Disney World Company","walt disney",1200000,2001,2001-07-20,"National Labor Relations Board",171980792622.951,"DIS",93.5,26.7834758758545,49264635404.5684,2.43582438019773e-05
"Quest Diagnostics, Incorporated","quest diagnostics",152560,2014,2014-05-01,"Health & Human Services Department Office of Inspector General",14327279508.1967,"DGX",127.76000213623,55.9300003051758,6272109689.00369,2.43235542049702e-05
"U.S. Trust Corporation","bank of america",5e+06,2001,2001-07-13,"Federal Reserve",228235527459.016,"BAC",32.9799995422363,29.7150001525879,205640352559.288,2.43142940467312e-05
"FedEx Freight East","fedex",5e+05,2005,2005-10-24,"Equal Employment Opportunity Commission",58064656557.377,"FDX",249.729995727539,88.5299987792969,20584087062.3857,2.4290608492114e-05
"Molecular Probes Inc.","thermo fisher scientific",266750,2004,2004-03-03,"Bureau of Industry and Security",209678794262.295,"TMO",539.989990234375,28.2999992370605,10988925396.7008,2.42744390711841e-05
"UNOCAL CORPORATION","chevron",1750000,2002,2002-02-06,"Environmental Protection Agency",255731292622.951,"CVX",144.919998168945,41.1800003051758,72667781129.691,2.40821994671442e-05
"Travelocity.com","expedia group",182750,2007,2007-08-10,"Office of Foreign Assets Control",19909961065.5738,"EXPE",148.570007324219,57,7638606211.1522,2.39245216926079e-05
"MetLife Securities, Inc.","metlife",649748,2015,2015-10-20,"Financial Industry Regulatory Authority",43547875819.6721,"MET",69.6800003051758,43.6096267700195,27254687181.4809,2.38398626876001e-05
"DePuy Synthes, Inc.","johnson & johnson",9750000,2023,2023-01-20,"Justice Department Civil Division",384633235245.902,"JNJ",158.960006713867,169.529998779297,410209292574.384,2.37683547800956e-05
"FedEx Freight East, Inc.","fedex",5e+05,2005,2005-10-31,"Equal Employment Opportunity Commission",58064656557.377,"FDX",249.729995727539,90.629997253418,21072357163.1224,2.3727767906052e-05
"AMERICAN EAGLE AIRLINES INC","american airlines",6e+05,2006,2006-01-10,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,38.6100006103516,25362084736.9706,2.36573612233608e-05
"Wells Fargo Clearing Services, LLC and Wells Fargo Advisors Financial Network, LLC","wells fargo",2075000,2020,2020-09-02,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,24.0499992370605,87790760083.203,2.36357447871899e-05
"The BISYS Group","citigroup",2.5e+07,2007,2007-05-23,"Securities and Exchange Commission",102457683196.721,"C",53.2599983215332,550.799987792969,1059588667527.87,2.35940613241246e-05
"SunTrust Robinson Humphrey, Inc.","truist financial",1500000,2016,2016-12-21,"Financial Industry Regulatory Authority",50219881147.541,"TFC",37.5499992370605,47.6500015258789,63727761968.8472,2.35376224373494e-05
"FEDERAL EXPRESS CORP","fedex",5e+05,2012,2012-07-03,"Federal Aviation Administration",58064656557.377,"FDX",249.729995727539,91.5400009155273,21283941878.6565,2.34918889954966e-05
"Centex Construction Group, Inc.","pultegroup",112000,2003,2003-12-17,"Federal Election Commission",22182742622.9508,"PHM",102.360000610352,22.0599994659424,4780688623.4616,2.34275872832109e-05
"Pacific Gas and Electric","pg&e corp.",3e+06,2017,2017-01-26,"U.S. Attorney-Northern District of California",34837396311.4754,"PCG",16.5300006866455,60.8400001525879,128221845666.242,2.33969491268198e-05
"Citigroup Global Markets, Inc.","citigroup",2e+07,2005,2005-03-23,"Securities and Exchange Commission",102457683196.721,"C",53.2599983215332,444.399993896484,854904153627.469,2.33944354055802e-05
"Buehler Limited","illinois tool works",2e+05,2008,2008-12-12,"Bureau of Industry and Security",71165727459.0164,"ITW",258.600006103516,31.1200008392334,8564104586.14886,2.33532878992942e-05
"Citigroup Technology Inc","citigroup",1967689,2016,2016-08-04,"Labor Department Wage and Hour Division",102457683196.721,"C",53.2599983215332,43.8899993896484,84432365653.1318,2.33049137588272e-05
"Ortho McNeil Pharmaceutical","johnson & johnson",3400000,2009,2009-10-19,"Justice Department Civil Division",384633235245.902,"JNJ",158.960006713867,60.4599990844727,146294187648.624,2.32408413119342e-05
"TracFone Wireless Inc.","verizon communications",4573376,2013,2013-09-30,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,47,198608389184.996,2.30271038336658e-05
"TEXAS GAS TRANSMISSION LLC","loews corp.",237800,2023,2023-04-05,"Pipeline and Hazardous Materials Safety Administration",13452120901.6393,"L",73.0899963378906,56.2099990844727,10345378867.8515,2.29861083907683e-05
"Morgan Stanley & Co., Inc.","morgan stanley",8e+05,2010,2010-08-10,"Financial Industry Regulatory Authority",111243387704.918,"MS",87.5699996948242,27.4500007629395,34870744410.3423,2.2941867560554e-05
"Packers Sanitation Services Inc.","blackstone",1544076,2023,2023-02-17,"Labor Department Wage and Hour Division",86134680327.8689,"BX",120.629997253418,94.4400024414062,67433968379.894,2.28975994902352e-05
"Norfolk Southern Railway Company","norfolk southern",95000,2003,2003-09-30,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,18.5,4204934356.30692,2.2592504888337e-05
"Wells Fargo Bank","wells fargo",4010000,2016,2016-08-22,"Consumer Financial Protection Bureau",180655509426.229,"WFC",49.4900016784668,48.6500015258789,177589220270.092,2.25801993719059e-05
"Delta Air Lines, Inc.","delta air lines",750000,2019,2019-02-22,"Transportation Department Aviation Consumer Protection Division",24722305737.7049,"DAL",38.189998626709,51.4799995422363,33325591354.4333,2.25052270497888e-05
"Amazon.com","amazon.com",2.5e+07,2023,2023-05-31,"Federal Trade Commission",1433910175409.84,"AMZN",156.869995117188,121.660003662109,1112064273739.39,2.24807150003443e-05
"Union Pacific Railroad","union pacific",565000,2010,2010-09-29,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,41.1500015258789,25214221578.9945,2.24079890085003e-05
"Scottrade","charles schwab corp.",6e+05,2009,2009-10-26,"Financial Industry Regulatory Authority",94974234426.2295,"SCHW",63.4799995422363,17.9400005340576,26840545504.3305,2.23542401514602e-05
"AMERICAN AIRLINES INC","american airlines",95000,2008,2008-10-06,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,6.48999977111816,4263142230.92472,2.22840324938897e-05
"TEXAS GAS TRANSMISSION LLC","loews corp.",162900,2012,2012-07-11,"Pipeline and Hazardous Materials Safety Administration",13452120901.6393,"L",73.0899963378906,39.9500007629395,7352746849.22981,2.215498552314e-05
"Sysco Food Services, LLC","sysco",385000,2007,2007-01-31,"National Labor Relations Board",38004656557.377,"SYY",74.9899978637695,34.3400001525879,17403386440.2857,2.21221313059391e-05
"Cordis Corporation","cardinal health",340382,2018,2018-04-25,"Office of Federal Contract Compliance Programs",25853147131.1475,"CAH",104.360000610352,62.3600006103516,15448469350.794,2.20333802832386e-05
"Beaver Medical Group L.P. et al.","unitedhealth group",5039180,2019,2019-08-08,"Justice Department Civil Division",477152997131.148,"UNH",513.22998046875,246.449996948242,229126043220.26,2.19930477093597e-05
"Wells Fargo Advisors, LLC","wells fargo",3250000,2013,2013-06-04,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,40.7299995422363,148678491951.523,2.18592478127884e-05
"Bank of America Corp","bank of america",2181593,2013,2013-09-23,"Office of Federal Contract Compliance Programs",228235527459.016,"BAC",32.9799995422363,14.4399995803833,99930896497.3162,2.18310159967252e-05
"EXXON MOBIL CORPORATION","exxon mobil",5144552,2021,2021-05-28,"Environmental Protection Agency",401020364344.262,"XOM",99.5999984741211,58.560001373291,235780657093.277,2.18192283600464e-05
"CONTINENTAL AIRLINES INC","united airlines holdings",150000,2012,2012-02-23,"Federal Aviation Administration",13457053688.5246,"UAL",40.8400001525879,20.9400005340576,6899870479.22895,2.17395385104044e-05
"United Airlines","united airlines holdings",305000,2022,2022-11-08,"Equal Employment Opportunity Commission",13457053688.5246,"UAL",40.8400001525879,42.7799987792969,14096296234.5027,2.16368892172874e-05
"J.P. Morgan Securities LLC","jpmorgan chase",4e+06,2016,2016-01-06,"Securities and Exchange Commission",495457747131.148,"JPM",170.5,63.7299995422363,185193677406.836,2.15990095126884e-05
"Citigroup, Inc.","citigroup",1.9e+07,2003,2003-07-28,"Securities and Exchange Commission",102457683196.721,"C",53.2599983215332,457.299987792969,879720216893.307,2.15977757872812e-05
"Lockheed Martin","lockheed martin",182710,2001,2001-05-30,"National Labor Relations Board",95803764754.0984,"LMT",431.649993896484,38.2700004577637,8493942251.44849,2.15106242297376e-05
"Allergan Inc.","abbvie",3500000,2018,2018-04-16,"U.S. Attorney-District of Maryland",291456179508.197,"ABBV",164.220001220703,91.8300018310547,162979060400.444,2.1475151417614e-05
"Bank of New York Mellon","bank of new york mellon",750000,2019,2019-10-01,"Commodity Futures Trading Commission",42446631147.541,"BK",54.9099998474121,45.2099990844727,34948318350.9737,2.14602600465067e-05
"ADM Investor Services, Inc.","archer daniels midland",425000,2013,2013-09-30,"Commodity Futures Trading Commission",28215540983.6066,"ADM",52.6300010681152,37.1199989318848,19900452782.0264,2.13562980026187e-05
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","bank of america",2e+06,2013,2013-06-04,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,13.5500001907349,93771724788.5819,2.13283908823178e-05
"Fifth Third Securities, Inc.","fifth third bancorp",150000,2009,2009-09-02,"Financial Industry Regulatory Authority",23796997131.1475,"FITB",34.7000007629395,10.2600002288818,7036230277.92668,2.13182334965023e-05
"INDIANAPOLIS POWER & LIGHT COMPANY","aes corp.",165300,2012,2012-08-08,"Occupational Safety & Health Administration",11125078688.5246,"AES",16.5,11.5299997329712,7774069958.05892,2.12629936303369e-05
"Continental Airlines, Inc.","united airlines holdings",50000,2009,2009-11-24,"Transportation Department Aviation Consumer Protection Division",13457053688.5246,"UAL",40.8400001525879,7.15000009536743,2355972938.21799,2.12226546361857e-05
"Wells Fargo Investments, LLC","wells fargo",2e+06,2011,2011-12-15,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,25.8600006103516,94397886958.6166,2.11869149240256e-05
"DOMIONION ENERGY. INC","dominion energy",1400000,2020,2020-07-20,"Environmental Protection Agency",37138952459.0164,"D",44.1500015258789,78.5800018310547,66101446237.1497,2.11795668581482e-05
"General Electric Co.","general electric",3500000,2015,2015-02-19,"Consumer Product Safety Commission",142141953688.525,"GE",129.929992675781,151.624328613281,165875313712.844,2.1100186167901e-05
"E. I. Du Pont De Nemours & Co.","dupont de nemours",591000,2005,2005-06-09,"Equal Employment Opportunity Commission",27750625819.6721,"DD",64.1999969482422,64.8014755249023,28010616594.0159,2.10991428202355e-05
"Allied Waste Industries Inc.","republic services",125000,2007,2007-05-08,"Justice Department Antitrust Division",34809443852.459,"RSG",169.339996337891,28.8700008392334,5934502745.75726,2.10632643298322e-05
"M&T Securities, Inc.","m&t bank",2e+05,2009,2009-05-07,"Financial Industry Regulatory Authority",23811384426.2295,"MTB",142.679992675781,57,9512538421.41152,2.10248822280523e-05
"Solarcity Corporation","tesla inc.",751154,2013,2013-10-01,"Labor Department Wage and Hour Division",577437376639.344,"TSLA",207.830001831055,12.8913326263428,35817433611.8792,2.09717426474372e-05
"Bank of America","bank of america",4200000,2019,2019-09-25,"Office of Federal Contract Compliance Programs",228235527459.016,"BAC",32.9799995422363,28.9400005340576,200277027842.159,2.09709523116654e-05
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","bank of america",2440000,2014,2014-12-16,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,16.8500003814697,116609120016.034,2.09246069232364e-05
"Canandaigua Wine Co., Inc.","constellation brands",50000,2003,2003-09-11,"Alcohol and Tobacco Tax and Trade Bureau",40204268442.6229,"STZ",247.410003662109,14.7449998855591,2396070994.74875,2.08674952076046e-05
"Fifth Third Bank","fifth third bancorp",440000,2000,2000-03-08,"Office of Federal Contract Compliance Programs",23796997131.1475,"FITB",34.7000007629395,30.75,21088116590.6002,2.08648315324719e-05
"RockTenn Company","westrock",187500,2016,2016-04-14,"Equal Employment Opportunity Commission",10418868032.7869,"WRK",40.7999992370605,35.2374076843262,8998380082.00306,2.08370838185646e-05
"Bentonite Performance Minerals LLC","halliburton",814700,2013,2013-05-14,"National Labor Relations Board",33134762704.918,"HAL",36.8300018310547,43.560001373291,39189525853.156,2.07887179613425e-05
"Life Technologies","thermo fisher scientific",230000,2001,2001-02-28,"Bureau of Industry and Security",209678794262.295,"TMO",539.989990234375,28.5699996948242,11093766914.9844,2.07323627549212e-05
"UNITED AIR LINES INC - CONTINENTAL AIRLINES INC","united airlines holdings",205000,2013,2013-04-09,"Federal Aviation Administration",13457053688.5246,"UAL",40.8400001525879,30.0499992370605,9901676091.14523,2.07035655492029e-05
"US AIRWAYS INC","american airlines",95000,2012,2012-03-06,"Federal Aviation Administration",9150319672.13115,"AAL",13.9300003051758,6.98999977111816,4591581551.51581,2.06900387010741e-05
"BofA Securities, Inc.","bank of america",5e+06,2022,2022-09-12,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,34.939998626709,241799549019.748,2.06782850516882e-05
"Citigroup Global Markets Inc.","citigroup",1500000,2010,2010-05-26,"Financial Industry Regulatory Authority",102457683196.721,"C",53.2599983215332,37.7999992370605,72716869484.0386,2.0627950716845e-05
"Grinnell Fire Protection Systems Company","johnson controls",1e+06,2005,2005-02-04,"National Labor Relations Board",37701701229.5082,"JCI",55.0200004577637,70.8120269775391,48522970962.3954,2.06087957964277e-05
"TEMPLE-INLAND FOREST PRODUCTS CORP.","international paper",248400,2001,2001-02-14,"Occupational Safety & Health Administration",12593404918.0328,"IP",36.1800003051758,34.6568489074707,12063231835.0872,2.0591496822394e-05
"Amazon.com Inc.","amazon.com",2.5e+07,2023,2023-07-19,"Justice Department Civil Division",1433910175409.84,"AMZN",156.869995117188,132.830001831055,1214166489155.38,2.0590256956763e-05
"MAGELLAN PIPELINE COMPANY LP","oneok",147500,2009,2009-07-09,"Pipeline and Hazardous Materials Safety Administration",40377327049.1803,"OKE",68.8600006103516,12.2176504135132,7164043888.2717,2.05889302606693e-05
"The American Bottling Company","keurig dr pepper inc.",590000,2020,2020-07-01,"Office of Federal Contract Compliance Programs",31553393442.6229,"KDP",31.1399993896484,28.3999996185303,28777019245.277,2.05024709116401e-05
"VALERO REFINING COMPANY - CALIFORNIA","valero energy",534375,2021,2021-11-13,"Occupational Safety & Health Administration",44538954918.0328,"VLO",130.149993896484,76.5800018310547,26206633954.1208,2.0390829319611e-05
"The Hillshire Brands Company (Sara Lee Food)","tyson foods",350000,2018,2018-09-28,"Office of Federal Contract Compliance Programs",15327402049.1803,"TSN",53.1800003051758,59.7900009155273,17232519317.3035,2.03104371192295e-05
"Aetna Inc","cvs health",567403,2004,2004-11-01,"Labor Department Wage and Hour Division",95779100819.6721,"CVS",74.1900024414062,21.7299995422363,28053373075.5844,2.02258387421449e-05
"US Airways, Inc.","american airlines",120000,2011,2011-06-02,"Transportation Department Aviation Consumer Protection Division",9150319672.13115,"AAL",13.9300003051758,9.03999996185303,5938182891.22892,2.02082021045946e-05
"Ford Motor Company","ford motor",675000,2007,2007-02-14,"National Labor Relations Board",43628444672.1311,"F",11.0299997329712,8.44999980926514,33423423216.9591,2.01954179145092e-05
"Wells Fargo Securities, LLC","wells fargo",4e+06,2014,2014-12-11,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,54.2599983215332,198067636003.091,2.01951216297527e-05
"BOEING COMMERCIAL AIRPLANES","boeing",8e+05,2012,2012-05-18,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,69.7300033569336,39782612828.9255,2.0109287528202e-05
"Charles Schwab & Company","charles schwab corp.",5e+05,2013,2013-02-21,"Financial Industry Regulatory Authority",94974234426.2295,"SCHW",63.4799995422363,16.6900005340576,24970384920.0696,2.00237201629251e-05
"Union Pacific Railroad Company","union pacific",140000,2001,2001-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,11.4750003814697,7031183268.74094,1.99113000826488e-05
"Omnicare Inc.","cvs health",2240000,2016,2016-10-19,"U.S. Attorney-Eastern District of California",95779100819.6721,"CVS",74.1900024414062,87.1900024414062,112562067118.118,1.99001320546951e-05
"Merrill Lynch, Pierce, Fenner & Smith","bank of america",1e+06,2012,2012-01-25,"Financial Industry Regulatory Authority",228235527459.016,"BAC",32.9799995422363,7.28999996185303,50449879004.3619,1.98216530888714e-05
"Target Corporation","target",510000,2007,2007-12-10,"Equal Employment Opportunity Commission",64573879918.0328,"TGT",139.199996948242,55.5099983215332,25750689974.4954,1.98052945573546e-05
"Boeing Co.","boeing",3900000,2019,2019-12-06,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,345.679992675781,197218595285.769,1.97750115517703e-05
"Boeing Co.","boeing",3900000,2019,2019-12-06,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,345.679992675781,197218595285.769,1.97750115517703e-05
"Chase Investment Services","jpmorgan chase",2e+06,2005,2005-03-24,"Financial Industry Regulatory Authority",495457747131.148,"JPM",170.5,34.9300003051758,101503456061.541,1.97037625870336e-05
"Covance Inc.","laboratory corp. of america",195000,2016,2016-09-30,"Office of Federal Contract Compliance Programs",19055766803.2787,"LH",223.350006103516,116.374572753906,9928841099.74833,1.96397543319474e-05
