"Company","Parent","Penalty","Year","Date","Agency"
"Legend Oaks Healthcare And Rehabilitation - Waxaha",NA,181194,2022,2022-07-08,"Centers for Medicare & Medicaid Services"
"Alaris Health At Belgrove",NA,180835,2023,2023-03-07,"Centers for Medicare & Medicaid Services"
"St Matthews Care And Rehab Center, Llc",NA,180707,2020,2020-03-17,"Centers for Medicare & Medicaid Services"
"Liberty Commons Nsg And Rehab Ctr Of Lee County",NA,180557,2023,2023-02-09,"Centers for Medicare & Medicaid Services"
"Beloved Health And Rehabilitation Center",NA,180459,2021,2021-09-24,"Centers for Medicare & Medicaid Services"
"Summit'S Trace Healthcare Center",NA,180290,2021,2021-01-12,"Centers for Medicare & Medicaid Services"
"The Emeralds At Faribault Llc",NA,180285,2020,2020-03-04,"Centers for Medicare & Medicaid Services"
"Lynwood Manor Healthcare Center",NA,180170,2021,2021-02-01,"Centers for Medicare & Medicaid Services"
"North Beach Healthcare And Rehabilitation Center",NA,179930,2021,2021-09-23,"Centers for Medicare & Medicaid Services"
"Bay At Burlington Health And Rehabilitation (The)",NA,179830,2021,2021-10-22,"Centers for Medicare & Medicaid Services"
"Crossview Care Center",NA,179757,2021,2021-08-24,"Centers for Medicare & Medicaid Services"
"Willow Valley Center For Nursing And Rehab","Portopiccolo Group LLC",179446,2022,2022-05-24,"Centers for Medicare & Medicaid Services"
"Tradewater Pointe",NA,179137,2020,2020-10-20,"Centers for Medicare & Medicaid Services"
"Midtown Center For Health And Rehabilitation",NA,178864,2022,2022-05-17,"Centers for Medicare & Medicaid Services"
"River Haven Nursing And Rehabilitation Center",NA,178601,2020,2020-08-25,"Centers for Medicare & Medicaid Services"
"Oakwood Health And Rehab Center",NA,178591,2022,2022-05-19,"Centers for Medicare & Medicaid Services"
"Excel Care Center",NA,178554,2018,2018-11-02,"Centers for Medicare & Medicaid Services"
"Ahava Healthcare Of Alabaster",NA,177769,2020,2020-02-01,"Centers for Medicare & Medicaid Services"
"Westbury Center Of Conyers For Nursing And Healing",NA,177722,2020,2020-10-22,"Centers for Medicare & Medicaid Services"
"The Villa At Mountain View",NA,177720,2021,2021-07-22,"Centers for Medicare & Medicaid Services"
"Whitefish Care And Rehabilitation",NA,177694,2022,2022-04-13,"Centers for Medicare & Medicaid Services"
"Bear Mountain At West Springfield",NA,177250,2023,2023-03-08,"Centers for Medicare & Medicaid Services"
"Ranger Care Center",NA,177190,2020,2020-04-10,"Centers for Medicare & Medicaid Services"
"Lexington Health Care Center",NA,176868,2022,2022-01-10,"Centers for Medicare & Medicaid Services"
"Maples Nursing Home",NA,176778,2021,2021-08-31,"Centers for Medicare & Medicaid Services"
"Briarcrest Nursing Center",NA,176715,2019,2019-09-06,"Centers for Medicare & Medicaid Services"
"Waunakee Valley Senior Living",NA,176600,2023,2023-02-17,"Centers for Medicare & Medicaid Services"
"Navasota Nursing & Rehabilitation",NA,176579,2019,2019-04-09,"Centers for Medicare & Medicaid Services"
"Olivia Restorative Care Center",NA,176530,2019,2019-12-26,"Centers for Medicare & Medicaid Services"
"Apple Rehab Uncasville",NA,176360,2022,2022-09-12,"Centers for Medicare & Medicaid Services"
"Michigan Masonic Home",NA,176274,2021,2021-12-03,"Centers for Medicare & Medicaid Services"
"Valley View Manor Hcc",NA,176170,2020,2020-08-21,"Centers for Medicare & Medicaid Services"
"Red Oak Health And Rehabilitation Center",NA,176163,2023,2023-02-27,"Centers for Medicare & Medicaid Services"
"Courtenay Springs Village",NA,176046,2022,2022-11-09,"Centers for Medicare & Medicaid Services"
"Brookdale Palmer Ranch Snf",NA,176046,2023,2023-02-17,"Centers for Medicare & Medicaid Services"
"Dixon Rehab & Hcc",NA,175318,2018,2018-11-05,"Centers for Medicare & Medicaid Services"
"Saint Anne Nursing And Rehabilitation Center",NA,175200,2019,2019-01-23,"Centers for Medicare & Medicaid Services"
"Ohio Veterans Home",NA,174944,2022,2022-04-27,"Centers for Medicare & Medicaid Services"
"Autumn Woods Residential Hlth",NA,174935,2022,2022-04-28,"Centers for Medicare & Medicaid Services"
"Bay At Oconto Health And Rehab Center (The)",NA,174890,2022,2022-03-07,"Centers for Medicare & Medicaid Services"
"Moorhead Restorative Care Center",NA,174755,2019,2019-11-07,"Centers for Medicare & Medicaid Services"
"Loyalhanna Care Center",NA,174528,2018,2018-02-02,"Centers for Medicare & Medicaid Services"
"St Petersburg Nursing & Rehabilitation",NA,174467,2019,2019-01-04,"Centers for Medicare & Medicaid Services"
"Breezy Hills Rehab And Care Center",NA,174054,2020,2020-10-23,"Centers for Medicare & Medicaid Services"
"Aventura At Terrace View",NA,174040,2018,2018-09-21,"Centers for Medicare & Medicaid Services"
"Meadowbrook At Oconto Falls",NA,173862,2021,2021-01-15,"Centers for Medicare & Medicaid Services"
"Mountain View Nursing And Rehabilitation Center",NA,173804,2019,2019-09-25,"Centers for Medicare & Medicaid Services"
"Hudson Memorial Nursing Home",NA,173744,2019,2019-03-22,"Centers for Medicare & Medicaid Services"
"Qhc Winterset North, Llc",NA,173656,2021,2021-09-15,"Centers for Medicare & Medicaid Services"
"La Plata Nursing Home",NA,173534,2023,2023-04-24,"Centers for Medicare & Medicaid Services"
"Monterey Palms Health Care Center",NA,173430,2018,2018-09-05,"Centers for Medicare & Medicaid Services"
"The Orchards At Armada",NA,173336,2020,2020-11-06,"Centers for Medicare & Medicaid Services"
"Promedica Skilled Nursing & Rehab (Roland Park)",NA,173042,2019,2019-02-08,"Centers for Medicare & Medicaid Services"
"Peak Healthcare At The Pines",NA,172725,2022,2022-10-04,"Centers for Medicare & Medicaid Services"
"Lakeview  Rehab & Nursing Center","Infinity Healthcare Management",172500,2020,2020-12-28,"Centers for Medicare & Medicaid Services"
"Mount Vernon Health Care Center",NA,172100,2020,2020-09-15,"Centers for Medicare & Medicaid Services"
"Avamere Rehabilitation Of King City",NA,172078,2021,2021-10-12,"Centers for Medicare & Medicaid Services"
"Sharon Health Care Pines",NA,172000,2021,2021-08-04,"Centers for Medicare & Medicaid Services"
"Bermuda Commons Nursing And Rehabilitation Center",NA,171751,2018,2018-04-16,"Centers for Medicare & Medicaid Services"
"ALLIS CARE CENTER",NA,188930,2023,2023-06-08,"Centers for Medicare & Medicaid Services"
"PARADIGM AT WOODWIND LAKES",NA,397931,2023,2023-06-06,"Centers for Medicare & Medicaid Services"
"BRODIE RANCH NURSING AND REHABILITATION CENTER",NA,224796,2023,2023-05-08,"Centers for Medicare & Medicaid Services"
"CRESTVIEW HEALTHCARE RESIDENCE",NA,206435,2023,2023-05-24,"Centers for Medicare & Medicaid Services"
"FOUNDERS PLAZA NURSING & REHAB","Fundamental Healthcare",190713,2023,2023-05-22,"Centers for Medicare & Medicaid Services"
"PARK PLACE MANOR",NA,188165,2023,2023-05-18,"Centers for Medicare & Medicaid Services"
"EPIC NURSING & REHABILITATION",NA,174983,2023,2023-05-19,"Centers for Medicare & Medicaid Services"
"VIVIANT HEALTHCARE OF BRISTOL",NA,477620,2023,2023-05-10,"Centers for Medicare & Medicaid Services"
"AHC LEWIS COUNTY",NA,348285,2023,2023-06-01,"Centers for Medicare & Medicaid Services"
"HIGHLANDS HEALTH AND REHABILITATION CENTER",NA,292422,2023,2023-05-05,"Centers for Medicare & Medicaid Services"
"CRESTWOOD NURSING & REHABILITATION CENTER, INC",NA,216645,2023,2023-05-15,"Centers for Medicare & Medicaid Services"
"CARE PAVILION NURSING AND REHABILITATION CENTER",NA,301590,2023,2023-05-04,"Centers for Medicare & Medicaid Services"
"PENNSYLVANIA SOLDIERS AND SAILORS HOME",NA,176348,2023,2023-05-16,"Centers for Medicare & Medicaid Services"
"BRYAN HEALTHCARE AND REHABILITATION",NA,203400,2023,2023-06-12,"Centers for Medicare & Medicaid Services"
"HENNIS CARE CENTRE OF DOVER",NA,198360,2023,2023-05-10,"Centers for Medicare & Medicaid Services"
"LITTLE BROOK NURSING AND CONVALESCENT HOME",NA,192342,2023,2023-06-15,"Centers for Medicare & Medicaid Services"
"PALACE REHABILITATION AND CARE CENTER, THE",NA,183300,2023,2023-06-05,"Centers for Medicare & Medicaid Services"
"TISHOMINGO COMM LIVING CENTER",NA,175540,2023,2023-06-01,"Centers for Medicare & Medicaid Services"
"WESTVIEW NURSING HOME",NA,180054,2023,2023-06-01,"Centers for Medicare & Medicaid Services"
"PARKWAY HEALTH AND REHABILITATION CENTER",NA,232170,2023,2023-05-25,"Centers for Medicare & Medicaid Services"
"SOMERSET RIDGE CENTER",NA,183750,2023,2023-05-17,"Centers for Medicare & Medicaid Services"
"CLIFTON OAKS CARE AND REHAB CENTER, LLC",NA,328800,2023,2023-06-11,"Centers for Medicare & Medicaid Services"
"STANFORD CARE AND REHAB, LLC",NA,236235,2023,2023-06-10,"Centers for Medicare & Medicaid Services"
"AVANTARA LIBERTYVILLE","Legacy Healthcare",208530,2023,2023-05-23,"Centers for Medicare & Medicaid Services"
"WEALSHIRE CTR OF EXCELLENCE",NA,197290,2023,2023-05-15,"Centers for Medicare & Medicaid Services"
"ROCHELLE REHAB & HEALTH CARE CENTER","Petersen Health Care",181015,2023,2023-05-23,"Centers for Medicare & Medicaid Services"
"SPRING CREEK",NA,177975,2023,2023-05-23,"Centers for Medicare & Medicaid Services"
"PIPER CITY REHAB & LIVING CTR","Petersen Health Care",174590,2023,2023-05-04,"Centers for Medicare & Medicaid Services"
"VALLEY VIEW NURSING & REHABILITATION",NA,173600,2023,2023-05-08,"Centers for Medicare & Medicaid Services"
"KISSIMMEE NURSING & REHABILITATION CENTER",NA,308493,2023,2023-06-09,"Centers for Medicare & Medicaid Services"
"SHARON HEALTH CARE CENTER","Athena Health Care Systems",239255,2023,2023-05-08,"Centers for Medicare & Medicaid Services"
"Air Shunt Instruments Inc.",NA,250000,2008,2008-07-17,"Justice Department National Security Division"
"Aviation Services International, B.V.",NA,1e+05,2009,2009-09-24,"Justice Department National Security Division"
"Balli Aviation Ltd.","Balli Group",2e+06,2010,2010-05-11,"Justice Department National Security Division"
"Chiquita Brands International Inc.","Chiquita Brands International",2.5e+07,2007,2007-03-19,"Justice Department National Security Division"
"GWC Valve International Inc",NA,710833,2011,2011-05-09,"Justice Department National Security Division"
"ITT Corporation","L3Harris Technologies",5e+07,2007,2007-03-27,"Justice Department National Security Division"
"ZTE Corporation","ZTE",430488798,2017,2017-03-07,"Justice Department National Security Division"
"Robbins & Myers Belgium S.A.","NOV Inc.",1e+06,2014,2014-10-02,"Justice Department National Security Division"
"Yang Ban Corporation",NA,673714,2020,2020-08-31,"Justice Department National Security Division"
"Essentra FZE Company Limited",NA,665112,2020,2020-07-16,"Justice Department National Security Division"
"United Microelectronics Corporation, Inc.",NA,6e+07,2020,2020-10-28,"Justice Department National Security Division"
"PT Bukit Muria Jaya",NA,1561570,2021,2021-01-17,"Justice Department National Security Division"
"SAP SE","SAP",5140000,2021,2021-04-29,"Justice Department National Security Division"
"Avnet Asia Pte. Ltd.","Avnet",1508000,2021,2021-01-29,"Justice Department National Security Division"
"British American Tobacco","British American Tobacco",6.29e+08,2023,2023-04-25,"Justice Department National Security Division"
"DES International Co. Ltd.",NA,83769,2023,2023-04-18,"Justice Department National Security Division"
"Soltech Industry Co. Ltd.",NA,83769,2023,2023-04-18,"Justice Department National Security Division"
"Suez Rajan LimitedÃƒÆ’â‚¬Å¡Â ",NA,2500000,2023,2023-09-08,"Justice Department National Security Division"
"Binance Holdings Limited","Binance Holdings",4316126163,2023,2023-11-21,"Justice Department National Security Division"
"Aargauische Kantonalbank",NA,1983000,2015,2015-12-08,"Justice Department Tax Division"
"ARVEST Privatbank AG",NA,1044000,2015,2015-07-09,"Justice Department Tax Division"
"Banca Credinvest SA",NA,3022000,2015,2015-06-03,"Justice Department Tax Division"
"Banca dello Stato del Cantone Ticino",NA,3393000,2015,2015-08-30,"Justice Department Tax Division"
"Bank CIC",NA,3281000,2015,2015-11-19,"Justice Department Tax Division"
"Bank Coop AG",NA,3223000,2015,2015-12-10,"Justice Department Tax Division"
"Bank EKI Genossenschaft",NA,4e+05,2015,2015-08-03,"Justice Department Tax Division"
"Bank J. Safra Sarasin AG",NA,85809000,2015,2015-12-23,"Justice Department Tax Division"
"Bank Julius Baer & Co. Ltd.","Julius Baer Group",5.47e+08,2016,2016-02-04,"Justice Department Tax Division"
"Bank La Roche & Co AG",NA,9296000,2015,2015-09-15,"Justice Department Tax Division"
"Bank Leumi Group","Bank Leumi",2.7e+08,2014,2014-12-22,"Justice Department Tax Division"
"Bank Linth LLB AG",NA,4150000,2015,2015-06-19,"Justice Department Tax Division"
"Bank Lombard Odier & Co Ltd",NA,99809000,2015,2015-12-31,"Justice Department Tax Division"
"Bank Sparhafen Zurich AG",NA,1810000,2015,2015-06-19,"Justice Department Tax Division"
"Bank Zweiplus",NA,1089000,2015,2015-08-30,"Justice Department Tax Division"
"Banque Bonhote & Cie SA",NA,624000,2015,2015-11-03,"Justice Department Tax Division"
"Banque Cantonal du Valais",NA,2311000,2015,2015-12-23,"Justice Department Tax Division"
"Banque Cantonale du Jura SA",NA,970000,2015,2015-08-06,"Justice Department Tax Division"
"Banque Cantonale Neuchateloise",NA,1123000,2015,2015-07-16,"Justice Department Tax Division"
"Banque Cantonale Vaudoise",NA,41677000,2015,2015-12-23,"Justice Department Tax Division"
"Banque Heritage S.A.",NA,3846000,2015,2015-10-29,"Justice Department Tax Division"
"Banque Internationale a Luxembourg (Suisse) SA",NA,9710000,2015,2015-11-12,"Justice Department Tax Division"
"Banque Pasche SA",NA,7229000,2015,2015-07-09,"Justice Department Tax Division"
"Baumann & Cie, Banquiers",NA,7700000,2015,2015-12-15,"Justice Department Tax Division"
"BBVA Suiza S.A.","Banco Bilbao Vizcaya Argentaria",10390000,2015,2015-10-16,"Justice Department Tax Division"
"Berner Kantonalbank AG",NA,4619000,2015,2015-06-09,"Justice Department Tax Division"
"BHF-Bank (Schweiz) AG",NA,1768000,2015,2015-10-01,"Justice Department Tax Division"
"BNP Paribas (Suisse) SA","BNP Paribas",59783000,2015,2015-11-19,"Justice Department Tax Division"
"Bordier & Cie Switzerland",NA,7827000,2015,2015-12-17,"Justice Department Tax Division"
"BSI SA",NA,2.11e+08,2015,2015-03-30,"Justice Department Tax Division"
"Corner Banca SA",NA,5068000,2015,2015-12-10,"Justice Department Tax Division"
"Coutts & Co Ltd","NatWest Group PLC",78484000,2015,2015-12-23,"Justice Department Tax Division"
"Credit Agricole (Suisse) SA","Credit Agricole",99211000,2015,2015-12-15,"Justice Department Tax Division"
"Credit Suisse AG","UBS",1.8e+09,2014,2014-11-21,"Justice Department Tax Division"
"Credito Privato Commerciale in liquidazione SA",NA,348900,2015,2015-07-30,"Justice Department Tax Division"
"Deutsche Bank (Suisse) SA","Deutsche Bank",31026000,2015,2015-11-24,"Justice Department Tax Division"
"Dreyfus Sons & Co Ltd, Banquiers",NA,24161000,2015,2015-12-15,"Justice Department Tax Division"
"DZ Privatbank (Schweiz) AG",NA,7452000,2015,2015-12-31,"Justice Department Tax Division"
"E. Gutzwiller & Cie, Banquiers",NA,1556000,2015,2015-09-17,"Justice Department Tax Division"
"Edmond de Rothschild (Suisse) SA and Edmond de Rothschild (Lugano) SA",NA,45245000,2015,2015-12-18,"Justice Department Tax Division"
"EFG Bank European Financial Group SA, Geneva and EFG Bank AG",NA,29988000,2015,2015-12-03,"Justice Department Tax Division"
"Ersparniskasse Schaffhausen AG",NA,2066000,2015,2015-06-26,"Justice Department Tax Division"
"Excel Home Care Inc.",NA,473510,2009,2009-12-04,"Justice Department Tax Division"
"Falcon Private Bank AG",NA,1806000,2015,2015-07-30,"Justice Department Tax Division"
"Finacor SA",NA,295000,2015,2015-10-06,"Justice Department Tax Division"
"Finter Bank Zurich AG",NA,5414000,2015,2015-05-15,"Justice Department Tax Division"
"Gonet & Cie",NA,11454000,2015,2015-12-23,"Justice Department Tax Division"
"Graubundner Kantonalbank",NA,3616000,2015,2015-09-25,"Justice Department Tax Division"
"Habib Bank AG Zurich",NA,9400000,2015,2015-10-29,"Justice Department Tax Division"
"HSZH Verwaltungs AG",NA,4.9e+07,2016,2016-01-27,"Justice Department Tax Division"
"Hyposwiss Private Bank Geneve S.A.",NA,1109000,2015,2015-10-29,"Justice Department Tax Division"
"Hypothekarbank Lenzburg AG",NA,560000,2015,2015-08-27,"Justice Department Tax Division"
"KBL (Switzerland) Ltd.",NA,18792000,2015,2015-11-19,"Justice Department Tax Division"
"KPMG LLP","KPMG",4.56e+08,2005,2005-08-29,"Justice Department Tax Division"
"LBBW (Schweiz) AG",NA,34000,2015,2015-05-28,"Justice Department Tax Division"
"Leodan Privatbank AG",NA,5e+05,2016,2016-01-25,"Justice Department Tax Division"
"Luzerner Kantonalbank AG",NA,11031000,2015,2015-10-29,"Justice Department Tax Division"
"Maerki Baumann & Co. AG",NA,23920000,2015,2015-11-17,"Justice Department Tax Division"
"MediBank AG",NA,826000,2015,2015-05-28,"Justice Department Tax Division"
"Mercantil Bank (Schweiz) AG",NA,1172000,2015,2015-07-16,"Justice Department Tax Division"
"Migros Bank AG",NA,15037000,2015,2015-09-25,"Justice Department Tax Division"
"Nidwaldner Kantonalbank",NA,856000,2015,2015-07-16,"Justice Department Tax Division"
"PBZ Verwaltungs AG",NA,5570000,2015,2015-12-17,"Justice Department Tax Division"
"Piguet Galland & Cie SA",NA,15365000,2015,2015-10-23,"Justice Department Tax Division"
"PKB Privatbank AG",NA,6328000,2015,2015-07-30,"Justice Department Tax Division"
"PostFinance AG",NA,2e+06,2015,2015-12-17,"Justice Department Tax Division"
"Privatbank Bellerive AG",NA,57000,2015,2015-07-23,"Justice Department Tax Division"
"Privatbank IHAG Zurich AG",NA,7453000,2015,2015-11-24,"Justice Department Tax Division"
"Privatbank Reichmuth & Co.",NA,2592000,2015,2015-08-06,"Justice Department Tax Division"
"Privatbank Von Graffenried AG",NA,287000,2015,2015-07-02,"Justice Department Tax Division"
"Rothschild Bank AG",NA,11510000,2015,2015-06-03,"Justice Department Tax Division"
"SB Saanen Bank AG",NA,1365000,2015,2015-07-23,"Justice Department Tax Division"
"Schaffhauser Kantonalbank",NA,1613000,2015,2015-10-08,"Justice Department Tax Division"
"Schroder & Co. Bank AG",NA,10354000,2015,2015-09-03,"Justice Department Tax Division"
"Scobag Privatbank AG",NA,9090,2015,2015-05-28,"Justice Department Tax Division"
"Societe Generale Private Banking (Lugano-Svizzera)","Societe Generale",1363000,2015,2015-05-28,"Justice Department Tax Division"
"Societe Generale Private Banking (Suisse) SA","Societe Generale",17807000,2015,2015-06-09,"Justice Department Tax Division"
"St. Galler Kantonalbank AG",NA,9481000,2015,2015-09-17,"Justice Department Tax Division"
"Standard Chartered Bank (Switzerland) SA, en liquidation","Standard Chartered",6337000,2015,2015-11-13,"Justice Department Tax Division"
"UBS AG","UBS",7.8e+08,2009,2009-02-18,"Justice Department Tax Division"
"Union Bancaire Privee","Union Bancaire Privee",1.87e+08,2016,2016-01-06,"Justice Department Tax Division"
"Vadian Bank AG",NA,4253000,2015,2015-05-08,"Justice Department Tax Division"
"Valiant Bank AG",NA,3304000,2015,2015-09-10,"Justice Department Tax Division"
"Wegelin & Co",NA,7.4e+07,2013,2013-01-03,"Justice Department Tax Division"
"Zuger Kantonalbank",NA,3798000,2015,2015-11-12,"Justice Department Tax Division"
"Fisher Sand & Gravel Inc.","Fisher Industries",1160000,2009,2009-05-29,"Justice Department Tax Division"
"Basler Kantonalbank",NA,60400000,2018,2018-08-28,"Justice Department Tax Division"
"Mirelis Holding S.A.",NA,10245000,2018,2018-07-27,"Justice Department Tax Division"
"NPB Neue Privat Bank",NA,5e+06,2018,2018-07-18,"Justice Department Tax Division"
"Zurich Life Insurance Company Ltd","Zurich Insurance",5115000,2019,2019-04-25,"Justice Department Tax Division"
"LLB Verwaltung",NA,10680554,2019,2019-08-05,"Justice Department Tax Division"
"Union Bancaire Privee, UBP SA","Union Bancaire Privee",1.4e+07,2020,2020-01-02,"Justice Department Tax Division"
"Coutts & Co Ltd.","NatWest Group PLC",27900000,2019,2019-12-20,"Justice Department Tax Division"
"Bank Hapoalim B.M. and Bank Hapoalim (Switzerland) Ltd.","Bank Hapoalim",616910000,2020,2020-04-30,"Justice Department Tax Division"
"Strachans SA",NA,5e+05,2020,2020-10-06,"Justice Department Tax Division"
"Swiss Life Holding AG et al.","Swiss Life Group",77374337,2021,2021-05-14,"Justice Department Tax Division"
"Banque Pictet et Cie SA",NA,122900000,2023,2023-12-04,"Justice Department Tax Division"
"Aargauische Kantonalbank",NA,1983000,2015,2015-12-08,"Justice Department Tax Division"
"ARVEST Privatbank AG",NA,1044000,2015,2015-07-09,"Justice Department Tax Division"
"Banca Credinvest SA",NA,3022000,2015,2015-06-03,"Justice Department Tax Division"
"Banca dello Stato del Cantone Ticino",NA,3393000,2015,2015-08-30,"Justice Department Tax Division"
"Bank CIC",NA,3281000,2015,2015-11-19,"Justice Department Tax Division"
"Bank Coop AG",NA,3223000,2015,2015-12-10,"Justice Department Tax Division"
"Bank EKI Genossenschaft",NA,4e+05,2015,2015-08-03,"Justice Department Tax Division"
"Bank J. Safra Sarasin AG",NA,85809000,2015,2015-12-23,"Justice Department Tax Division"
"Bank Julius Baer & Co. Ltd.","Julius Baer Group",5.47e+08,2016,2016-02-04,"Justice Department Tax Division"
"Bank La Roche & Co AG",NA,9296000,2015,2015-09-15,"Justice Department Tax Division"
"Bank Leumi Group","Bank Leumi",2.7e+08,2014,2014-12-22,"Justice Department Tax Division"
"Bank Linth LLB AG",NA,4150000,2015,2015-06-19,"Justice Department Tax Division"
"Bank Lombard Odier & Co Ltd",NA,99809000,2015,2015-12-31,"Justice Department Tax Division"
"Bank Sparhafen Zurich AG",NA,1810000,2015,2015-06-19,"Justice Department Tax Division"
"Bank Zweiplus",NA,1089000,2015,2015-08-30,"Justice Department Tax Division"
"Banque Bonhote & Cie SA",NA,624000,2015,2015-11-03,"Justice Department Tax Division"
"Banque Cantonal du Valais",NA,2311000,2015,2015-12-23,"Justice Department Tax Division"
"Banque Cantonale du Jura SA",NA,970000,2015,2015-08-06,"Justice Department Tax Division"
"Banque Cantonale Neuchateloise",NA,1123000,2015,2015-07-16,"Justice Department Tax Division"
"Banque Cantonale Vaudoise",NA,41677000,2015,2015-12-23,"Justice Department Tax Division"
"Banque Heritage S.A.",NA,3846000,2015,2015-10-29,"Justice Department Tax Division"
"Banque Internationale a Luxembourg (Suisse) SA",NA,9710000,2015,2015-11-12,"Justice Department Tax Division"
"Banque Pasche SA",NA,7229000,2015,2015-07-09,"Justice Department Tax Division"
"Baumann & Cie, Banquiers",NA,7700000,2015,2015-12-15,"Justice Department Tax Division"
"BBVA Suiza S.A.","Banco Bilbao Vizcaya Argentaria",10390000,2015,2015-10-16,"Justice Department Tax Division"
"Berner Kantonalbank AG",NA,4619000,2015,2015-06-09,"Justice Department Tax Division"
"BHF-Bank (Schweiz) AG",NA,1768000,2015,2015-10-01,"Justice Department Tax Division"
"BNP Paribas (Suisse) SA","BNP Paribas",59783000,2015,2015-11-19,"Justice Department Tax Division"
"Bordier & Cie Switzerland",NA,7827000,2015,2015-12-17,"Justice Department Tax Division"
"BSI SA",NA,2.11e+08,2015,2015-03-30,"Justice Department Tax Division"
"Corner Banca SA",NA,5068000,2015,2015-12-10,"Justice Department Tax Division"
"Coutts & Co Ltd","NatWest Group PLC",78484000,2015,2015-12-23,"Justice Department Tax Division"
"Credit Agricole (Suisse) SA","Credit Agricole",99211000,2015,2015-12-15,"Justice Department Tax Division"
"Credit Suisse AG","UBS",1.8e+09,2014,2014-11-21,"Justice Department Tax Division"
"Credito Privato Commerciale in liquidazione SA",NA,348900,2015,2015-07-30,"Justice Department Tax Division"
"Deutsche Bank (Suisse) SA","Deutsche Bank",31026000,2015,2015-11-24,"Justice Department Tax Division"
"Dreyfus Sons & Co Ltd, Banquiers",NA,24161000,2015,2015-12-15,"Justice Department Tax Division"
"DZ Privatbank (Schweiz) AG",NA,7452000,2015,2015-12-31,"Justice Department Tax Division"
"E. Gutzwiller & Cie, Banquiers",NA,1556000,2015,2015-09-17,"Justice Department Tax Division"
"Edmond de Rothschild (Suisse) SA and Edmond de Rothschild (Lugano) SA",NA,45245000,2015,2015-12-18,"Justice Department Tax Division"
"EFG Bank European Financial Group SA, Geneva and EFG Bank AG",NA,29988000,2015,2015-12-03,"Justice Department Tax Division"
"Ersparniskasse Schaffhausen AG",NA,2066000,2015,2015-06-26,"Justice Department Tax Division"
"Excel Home Care Inc.",NA,473510,2009,2009-12-04,"Justice Department Tax Division"
"Falcon Private Bank AG",NA,1806000,2015,2015-07-30,"Justice Department Tax Division"
"Finacor SA",NA,295000,2015,2015-10-06,"Justice Department Tax Division"
"Finter Bank Zurich AG",NA,5414000,2015,2015-05-15,"Justice Department Tax Division"
"Gonet & Cie",NA,11454000,2015,2015-12-23,"Justice Department Tax Division"
"Graubundner Kantonalbank",NA,3616000,2015,2015-09-25,"Justice Department Tax Division"
"Habib Bank AG Zurich",NA,9400000,2015,2015-10-29,"Justice Department Tax Division"
"HSZH Verwaltungs AG",NA,4.9e+07,2016,2016-01-27,"Justice Department Tax Division"
"Hyposwiss Private Bank Geneve S.A.",NA,1109000,2015,2015-10-29,"Justice Department Tax Division"
"Hypothekarbank Lenzburg AG",NA,560000,2015,2015-08-27,"Justice Department Tax Division"
"KBL (Switzerland) Ltd.",NA,18792000,2015,2015-11-19,"Justice Department Tax Division"
"KPMG LLP","KPMG",4.56e+08,2005,2005-08-29,"Justice Department Tax Division"
"LBBW (Schweiz) AG",NA,34000,2015,2015-05-28,"Justice Department Tax Division"
"Leodan Privatbank AG",NA,5e+05,2016,2016-01-25,"Justice Department Tax Division"
"Luzerner Kantonalbank AG",NA,11031000,2015,2015-10-29,"Justice Department Tax Division"
"Maerki Baumann & Co. AG",NA,23920000,2015,2015-11-17,"Justice Department Tax Division"
"MediBank AG",NA,826000,2015,2015-05-28,"Justice Department Tax Division"
"Mercantil Bank (Schweiz) AG",NA,1172000,2015,2015-07-16,"Justice Department Tax Division"
"Migros Bank AG",NA,15037000,2015,2015-09-25,"Justice Department Tax Division"
"Nidwaldner Kantonalbank",NA,856000,2015,2015-07-16,"Justice Department Tax Division"
"PBZ Verwaltungs AG",NA,5570000,2015,2015-12-17,"Justice Department Tax Division"
"Piguet Galland & Cie SA",NA,15365000,2015,2015-10-23,"Justice Department Tax Division"
"PKB Privatbank AG",NA,6328000,2015,2015-07-30,"Justice Department Tax Division"
"PostFinance AG",NA,2e+06,2015,2015-12-17,"Justice Department Tax Division"
"Privatbank Bellerive AG",NA,57000,2015,2015-07-23,"Justice Department Tax Division"
"Privatbank IHAG Zurich AG",NA,7453000,2015,2015-11-24,"Justice Department Tax Division"
"Privatbank Reichmuth & Co.",NA,2592000,2015,2015-08-06,"Justice Department Tax Division"
"Privatbank Von Graffenried AG",NA,287000,2015,2015-07-02,"Justice Department Tax Division"
"Rothschild Bank AG",NA,11510000,2015,2015-06-03,"Justice Department Tax Division"
"SB Saanen Bank AG",NA,1365000,2015,2015-07-23,"Justice Department Tax Division"
"Schaffhauser Kantonalbank",NA,1613000,2015,2015-10-08,"Justice Department Tax Division"
"Schroder & Co. Bank AG",NA,10354000,2015,2015-09-03,"Justice Department Tax Division"
"Scobag Privatbank AG",NA,9090,2015,2015-05-28,"Justice Department Tax Division"
"Societe Generale Private Banking (Lugano-Svizzera)","Societe Generale",1363000,2015,2015-05-28,"Justice Department Tax Division"
"Societe Generale Private Banking (Suisse) SA","Societe Generale",17807000,2015,2015-06-09,"Justice Department Tax Division"
"St. Galler Kantonalbank AG",NA,9481000,2015,2015-09-17,"Justice Department Tax Division"
